sym,side,live_gain_pct,live_bh_pct,live_delta,live_gain_per_mo,live_dd,live_trades,live_window_days,live_source,vec_gain_pct,vec_bh_pct,vec_delta_per_mo,vec_gain_per_mo,vec_dd,vec_tim,vec_trades,vec_window_days,vec_bars,entry_overrides,exit_overrides,reentry_overrides
AR,LONG,4788.67506886,8.55506729,4780.12000157,398.8425805427369,0.4453727,48,365.47569444,autonomous_direct_v8,7.6333,29.1047,-2.9956,1.065,2.08,0.83,83,215.0,61929,,BB_RECOVERY_EXIT_TOLERANCE_PCT_TRADIER=0.15;EXIT_SCORER_K_EXTREME=63.75,
ASML,LONG,PENDING_12h,,,,,,,,52.6283,77.3033,-2.3763,5.0683,35.98,41.48,5833,311.5,89716,LIVE_ENTRY_ENGINE_STOCH_ENABLED=False,EXIT_DC_BREACH_REDUCE_ENABLED=True,
ASTS,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
AU,SHORT,PENDING_12h,,,,,,,,12.121,-276.3909,29.432,1.2365,2.84,1.11,132,294.1,84695,VWAP_BOUNCE_ENTRY_ENABLED=True,,
AVGO,LONG,PENDING_12h,,,,,,,,-101.5983,181.4978,-22.011,-7.8994,101.73,40.05,7403,385.8,111124,K_ZONE_ENTRY_BONUS_TRADIER=10,SATOSHIT_EXIT_ENABLED=False;TRADIER_MI_EXIT_ENABLED_TRADIER=False,
AXON,SHORT,PENDING_12h,,,,,,,,0.2358,-56.6682,8.3712,0.0347,4.93,0.63,56,203.9,58731,,,
A,LONG,1888.29167147,19.67824112,1868.61343035,540.8430593885043,0.10125732,19,106.27777778,autonomous_direct_v8,-3.7016,19.7787,-29.0478,-4.5793,5.03,0.83,16,24.2,6984,BB_ENTRY_LONG_THRESHOLD=0.45,,
BA,LONG,PENDING_12h,,,,,,,,-71.4581,20.6711,-7.7799,-6.0343,95.53,46.42,6092,355.3,102315,,,
BG,LONG,7361.54885153,55.06720078,7306.48165075,613.3087282474324,0.01889748,76,365.37152778,autonomous_direct_v8,1.4459,20.6213,-3.2015,0.2414,2.58,0.92,64,179.7,51750,,EXIT_STDEV_BREAKOUT_FAIL_ENABLED=False;EXIT_K5M_BOUNCE_ENABLED=False,
BK,LONG,3277.76772232,35.8720018,3241.89572052,273.14897192435717,0.43468063,61,365.27777778,autonomous_direct_v8,-1.1064,102.508,-19.0438,-0.2034,4.56,1.87,110,163.2,47009,,BREAKEVEN_EXIT_AFTER_BARS_ENABLED=True,
