position_key,symbol,side,is_hedge,open_dt,close_dt,hold_minutes,open_price,close_price,actual_gain_pct,aug_count,reduce_count,first_flip_dt,flip_minutes_after_open,cf_price,cf_gain_pct,delta_cf_minus_actual_pct,close_reason
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-20T01:11:51.722178+00:00,2026-04-25T02:53:45.796418+00:00,7301.9,0.24440077,0.25100154,2.7008,2,0,,,,,,HEDGE_CLEANUP_R6_main_recovered_gain=0.20_main=gone_wt3m=-6.5/-4.6_wt15m=15.9/15.5
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-25T03:04:01.084589+00:00,2026-04-25T03:57:05.173487+00:00,53.07,0.25110292,0.2515,0.1581,1,0,2026-04-25T03:04:01.084589+00:00,0.0,0.25110292,0.0,-0.1581,QUICK_DC_LOW4_3M_GAIN_EROSION_STOP_p0.251500<dc40.251504_g0.12%
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-25T04:19:51.381810+00:00,2026-04-25T06:28:04.448704+00:00,128.22,0.2516,0.2517,0.0397,7,2,2026-04-25T05:36:48.359638+00:00,76.95,0.25131405,-0.1137,-0.1534,QUICK_HEDGE_CLOSE_SCALP_D_1m_bear_vs_LONG_age=0.1m_h=0.04%_REDUCE
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-25T07:34:26.156161+00:00,2026-04-25T09:05:26.775557+00:00,91.01,0.2516,0.2522,0.2385,5,3,2026-04-25T07:34:26.156161+00:00,0.0,0.2516,0.0,-0.2385,QUICK_REDUCE_STRONG_REDUCE_k_1m:97/d_1m:93/k_3m:51/d_3m:45_HLR_TOP_EXIT_4h|D_g=0.00%_REENTER_2.5x_REDUCE
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-25T09:19:14.585152+00:00,2026-04-25T13:49:31.284820+00:00,270.28,0.2525,0.2523,-0.0792,10,9,2026-04-25T10:38:29.200207+00:00,79.24,0.2536,0.4356,0.5149,QUICK_HEDGE_BAL_CLOSE_SENT-1_RATIO0.00_REDUCE
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-26T03:13:15.548151+00:00,2026-04-26T03:25:08.615956+00:00,11.88,0.2493584,0.2501,0.2974,0,6,,,,,,QUICK_HEDGE_BAL_CLOSE_SENT-1_RATIO0.00_REDUCE
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-26T03:45:27.815504+00:00,2026-04-26T04:24:59.256906+00:00,39.52,0.2501,0.2492,-0.3599,1,0,,,,,,HEDGE_CLEANUP_R6_main_recovered_gain=0.03_main=gone_wt3m=-17.1/-10.5_wt15m=0.0/0.0
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-26T04:49:01.875335+00:00,2026-04-26T05:34:08.452867+00:00,45.11,0.2502,0.25075184,0.2206,1,0,,,,,,QUICK_HEDGE_KILL_REVERSING_-0.11%<prev0.07%_REDUCE
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-26T05:59:46.423918+00:00,2026-04-26T06:45:13.749308+00:00,45.46,0.2505,0.25163836,0.4544,3,0,2026-04-26T06:24:04.444663+00:00,24.3,0.25105549,0.2218,-0.2327,WT_4H_VEL_EXIT_vel=-17.6_g=0.20%_MANDATORY_REENTRY
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-26T07:03:38.585145+00:00,2026-04-26T07:14:45.107300+00:00,11.11,0.2512,0.25133991,0.0557,0,2,2026-04-26T07:05:24.039337+00:00,1.76,0.2512,0.0,-0.0557,QUICK_REDUCE_STRONG_REDUCE_k_1m:87/d_1m:92/k_3m:18/d_3m:12_SIMPLE_TP_0.00%_wt=declining_bc112_REDUCE
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-26T08:53:29.735942+00:00,2026-04-26T08:58:33.171518+00:00,5.06,0.25142454,0.2515,0.03,0,2,2026-04-26T08:53:29.735942+00:00,0.0,0.25142454,0.0,-0.03,HEDGE_CLOSE_WT3M1H_PRE_GATE_3m=6.0/6.8_1h=64.7/70.3_gain=-0.11%
inf:ADAUSDC_LONG,ADAUSDC,LONG,True,2026-04-26T11:27:48.077246+00:00,2026-04-26T11:50:30.830971+00:00,22.71,0.25393419,0.25399939,0.0257,1,1,2026-04-26T11:27:48.077246+00:00,0.0,0.25393419,0.0,-0.0257,QUICK_REDUCE_STRONG_REDUCE_k_1m:48/d_1m:27/k_3m:53/d_3m:62_SIMPLE_TP_0.00%_wt=declining_bc112_REDUCE
inf:AGLDUSDT_SHORT,AGLDUSDT,SHORT,False,2026-04-20T01:18:05.027818+00:00,2026-04-20T01:44:49.510806+00:00,26.74,0.263165,0.26341108,-0.0935,0,0,2026-04-20T01:18:05.027818+00:00,0.0,0.263165,0.0,0.0935,QUICK_HEDGE_KILL_REVERSING_-0.02%<prev0.04%
inf:AGLDUSDT_SHORT,AGLDUSDT,SHORT,False,2026-04-20T01:47:56.647402+00:00,2026-04-20T03:19:05.451473+00:00,91.15,0.26354087,0.26318867,0.1336,2,0,2026-04-20T01:47:56.647402+00:00,0.0,0.26354087,0.0,-0.1336,WT_4H_VEL_EXIT_vel=15.1_g=0.04%_MANDATORY_REENTRY
inf:AGLDUSDT_LONG,AGLDUSDT,LONG,True,2026-04-20T01:23:50.661945+00:00,2026-04-20T01:36:38.029237+00:00,12.79,0.26302505,0.26301655,-0.0032,0,0,,,,,,QUICK_HEDGE_WT_KILL_LOSER_RECOVER_AGLDUSDT_wt3m=22.9/42.3_g0.0
