Date,Time(UTC),Account,Side,Action,Price,Gain%,Category,Reason(truncated)
2026-05-05,01:04:13,fin,SHORT,REENTRY,359.02,,REENTRY_FIRED (correct),GUARANTEED_PRICE_CROSS_REENTRY_DISK_SHORT_exit381.119248_cur357.060000_partial0.
2026-05-05,01:41:51,fin,LONG,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_SPIKE_htf2_move19.09%_k3m34_exit357.0600_px425.2
2026-05-05,09:06:23,fin,SHORT,OPEN,359.02,,REENTRY_FIRED (correct),GUARANTEED_REENTRY_PF_FAVORABLE_DROP_htf2_move-5.80%_k3m49_exit381.1192_px359.02
2026-05-06,00:15:07,fin,SHORT,OPEN,359.02,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult2.0_INTERVENTION
2026-05-06,22:16:19,fin,SHORT,OPEN,555.91,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult1.0_INTERVENTION
2026-05-06,22:29:17,fin,SHORT,OPEN,555.91,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult1.0_INTERVENTION
2026-05-07,01:01:01,fin,SHORT,OPEN,550.03,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult1.0_INTERVENTION
2026-05-05,22:00:48,flz,SHORT,OPEN,521.05,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult4_INTERVENTION
2026-05-05,22:20:23,flz,SHORT,CLOSE,359.02,,CB_HTF_EXHAUST_BAD_ENTRY: g=-0.95% age=17m wt_against_at_ent,CB_HTF_EXHAUST_BAD_ENTRY: g=-0.95% age=17m wt_against_at_entry=3/5 dc_wrong
2026-05-05,22:27:40,flz,SHORT,OPEN,359.02,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult4_INTERVENTION
2026-05-05,22:43:09,flz,SHORT,CLOSE,359.02,,FLZ_AGENT_FORCE_CLOSE(PROFIT_TAKE_MTF_REVERSE),FLZ_AGENT_FORCE_CLOSE(PROFIT_TAKE_MTF_REVERSE)
2026-05-05,22:43:54,flz,SHORT,CLOSE,359.02,,FLZ_AGENT_FORCE_CLOSE(PROFIT_TAKE_MTF_REVERSE),FLZ_AGENT_FORCE_CLOSE(PROFIT_TAKE_MTF_REVERSE)
2026-05-05,22:44:37,flz,SHORT,CLOSE,359.02,,FLZ_AGENT_FORCE_CLOSE(PROFIT_TAKE_MTF_REVERSE),FLZ_AGENT_FORCE_CLOSE(PROFIT_TAKE_MTF_REVERSE)
2026-05-05,23:23:34,flz,SHORT,OPEN,359.02,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult2.0_INTERVENTION
2026-05-05,23:41:39,flz,SHORT,REDUCE,359.02,,BE_EROSION_STOP,QUICK_BREAKEVEN_GAIN_EROSION_STOP_age101m_gain0.28%
2026-05-05,23:43:51,flz,SHORT,OPEN,359.02,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult2.0_INTERVENTION
2026-05-06,00:00:37,flz,SHORT,REDUCE,515.01,,PEAK_GIVEBACK_STOP,QUICK_PEAK_GIVEBACK_GAIN_EROSION_STOP_peak30.99%_drop0.5%_cur-0.50%
2026-05-06,00:15:14,flz,SHORT,OPEN,359.02,,GOLDEN_RULE_SHORT ← against trend,GOLDEN_RULE_SHORT_mult2.0_INTERVENTION
