symbol,side,open_ts,close_ts,held_min,entry_px,exit_px,pnl_pct,close_type,close_reason
BRETTUSDT,SHORT,2026-03-18T09:59:26+00:00,2026-03-18T10:49:54+00:00,50.5,0.008127,0.008127,0.000,CLOSE,Manual/System Detection
BTCDOMUSDT,SHORT,2026-03-28T17:59:59+00:00,2026-03-29T04:12:44+00:00,612.8,5056.52,5090.8,-0.678,CLOSE,QUICK_HEDGE_CLEANUP_ORPHAN_REDUCE
BTCDOMUSDT,SHORT,2026-04-04T11:22:21+00:00,2026-04-04T23:48:16+00:00,745.9,5124.2,5124.2,0.000,CLOSE,QUICK_HEDGE_WT_KILL_wt1=15.3_wt2=9.5
BTCDOMUSDT,SHORT,2026-04-04T23:50:52+00:00,2026-04-07T23:45:37+00:00,4314.8,5123.99,5136.2,-0.238,CLOSE,QUICK_HEDGE_KILL_LOSING_IN_DUAL_-0.55%
C98USDT,SHORT,2026-03-18T06:46:52+00:00,2026-03-18T07:50:18+00:00,63.4,0.029531,0.0295619,-0.105,CLOSE,Manual/System Detection
CHZUSDT,LONG,2026-03-16T03:00:43+00:00,2026-03-16T22:50:21+00:00,1189.6,0.038891,0.03857,-0.825,CLOSE,Manual/System Detection
COMPUSDT,LONG,2026-04-05T17:12:53+00:00,2026-04-05T19:25:11+00:00,132.3,16.51,16.51,0.000,CLOSE,QUICK_HEDGE_WT_KILL_wt1=7.9_wt2=5.6
CRVUSDC,LONG,2026-04-08T20:38:49+00:00,2026-04-08T21:44:16+00:00,65.5,0.218832,0.218832,-0.000,CLOSE,QUICK_HEDGE_ORPHAN_KILL_no_original
CRVUSDC,SHORT,2026-03-18T15:00:56+00:00,2026-03-18T21:49:37+00:00,408.7,0.24035,0.240437,-0.036,CLOSE,Manual/System Detection
DOGEUSDC,LONG,2026-03-28T17:54:30+00:00,2026-03-28T18:20:37+00:00,26.1,0.09241,0.0925251,0.125,CLOSE,QUICK_HEDGE_PROTECT_SHORT_LOSS
DOGEUSDC,SHORT,2026-03-19T23:36:49+00:00,2026-03-21T23:52:21+00:00,2895.5,0.094102,0.0916185,2.639,CLOSE,QUICK_HEDGE_ELECTED_SEIUSDT_LONG
DOGEUSDC,SHORT,2026-03-21T23:53:23+00:00,2026-03-21T23:53:30+00:00,0.1,0.09308,0.0940563,-1.049,CLOSE,QUICK_HEDGE_ELECTED_SEIUSDT_LONG
EDUUSDT,SHORT,2026-03-17T23:57:38+00:00,2026-03-21T23:52:57+00:00,5755.3,0.079711,0.0788547,1.074,CLOSE,ALL_ALL_RED_DIRECT_OPEN_losers_all_red_rank1
EDUUSDT,SHORT,2026-03-28T02:34:12+00:00,2026-03-28T03:05:36+00:00,31.4,0.0629771,0.0627918,0.294,CLOSE,QUICK_OPEN_STRONG_SELL_k1:36/d132/k3:5.86/d3:1.95_@0.0632_DC
EGLDUSDT,SHORT,2026-03-17T09:22:54+00:00,2026-03-17T12:43:25+00:00,200.5,4.37354,4.354,0.447,CLOSE,Manual/System Detection
EGLDUSDT,SHORT,2026-03-19T13:14:57+00:00,2026-03-22T02:08:07+00:00,3653.2,3.99964,3.97231,0.683,CLOSE,QUICK_HEDGE_PROTECT_SHORT_LOSS
ENAUSDC,LONG,2026-03-28T17:29:25+00:00,2026-03-28T18:36:15+00:00,66.8,0.0927045,0.0945,1.937,CLOSE,QUICK_HEDGE_MOMENTUM_FLIP_REDUCE
ENAUSDC,SHORT,2026-03-18T15:27:00+00:00,2026-03-18T18:01:02+00:00,154.0,0.1074,0.1081,-0.652,CLOSE,Manual/System Detection
ETHFIUSDC,LONG,2026-03-28T17:30:02+00:00,2026-03-28T18:15:56+00:00,45.9,0.4632,0.4678,0.993,CLOSE,QUICK_HEDGE_MOMENTUM_FLIP_REDUCE
ETHFIUSDC,LONG,2026-03-28T18:18:54+00:00,2026-03-28T18:52:32+00:00,33.6,0.4664,0.4664,-0.000,CLOSE,QUICK_HEDGE_PROTECT_SHORT_LOSS
ETHFIUSDC,SHORT,2026-03-18T11:33:49+00:00,2026-03-18T11:48:07+00:00,14.3,0.563976,0.5582,1.024,CLOSE,Manual/System Detection
ETHFIUSDC,SHORT,2026-03-19T08:08:11+00:00,2026-03-19T08:34:41+00:00,26.5,0.549969,0.5475,0.449,CLOSE,Manual/System Detection
