rsi_period,stoch_k_period,exit_mode,fixed_tp_pct,adx_filter_enabled,adx_min_threshold,wt_filter_enabled,long_rsi_15m_max,htf_rvol_1h_min,_trades,_wr,_pnl,_sharpe,_pf,_avg_hold_h,cycle_tp_pct
10,9,fixed_tp,1.5,False,20,True,45,1.2,26,100.0,849.6171773118265,10.074056970886373,inf,30.66346153846154,
10,9,fixed_tp,1.5,True,20,True,45,1.2,26,100.0,849.6171773118265,10.074056970886373,inf,30.66346153846154,
10,9,fixed_tp,1.5,True,25,False,40,1.2,25,100.0,824.6936010713782,10.017341942025412,inf,31.51,
10,9,fixed_tp,1.5,True,25,True,40,1.2,25,100.0,824.6936010713782,10.017341942025412,inf,31.51,
14,14,fixed_tp,0.5,True,20,False,35,0.8,35,100.0,433.8457320594983,9.963128258954354,inf,16.65714285714286,
14,14,fixed_tp,0.5,False,20,False,35,0.8,35,100.0,433.8457320594983,9.963128258954354,inf,16.65714285714286,
14,14,fixed_tp,0.5,True,20,True,35,0.8,35,100.0,433.8457320594983,9.963128258954354,inf,16.65714285714286,
14,14,fixed_tp,0.5,False,20,True,35,0.8,35,100.0,433.8457320594983,9.963128258954354,inf,16.65714285714286,
14,14,fixed_tp,0.5,True,20,False,40,1.2,36,100.0,432.07439688201987,9.909056142168325,inf,16.604166666666668,
14,14,fixed_tp,0.5,True,20,True,40,1.2,36,100.0,432.07439688201987,9.909056142168325,inf,16.604166666666668,
14,14,fixed_tp,0.5,False,20,True,40,1.2,36,100.0,432.07439688201987,9.909056142168325,inf,16.604166666666668,
14,14,fixed_tp,0.5,False,20,False,40,1.2,36,100.0,432.07439688201987,9.909056142168325,inf,16.604166666666668,
14,14,fixed_tp,2.0,False,20,False,40,0.8,25,100.0,907.621659235176,9.87268505925113,inf,30.53,
14,14,fixed_tp,2.0,True,20,True,40,0.8,25,100.0,907.621659235176,9.87268505925113,inf,30.53,
14,14,fixed_tp,2.0,False,20,True,40,0.8,25,100.0,907.621659235176,9.87268505925113,inf,30.53,
14,14,fixed_tp,2.0,True,20,False,40,0.8,25,100.0,907.621659235176,9.87268505925113,inf,30.53,
14,14,fixed_tp,2.0,True,25,True,40,0.8,25,100.0,911.5850942001904,9.835328673941671,inf,30.08,
14,14,fixed_tp,2.0,True,25,False,40,0.8,25,100.0,911.5850942001904,9.835328673941671,inf,30.08,
14,9,fixed_tp,1.5,True,25,False,45,1.2,24,100.0,801.9010024782344,9.770740199482503,inf,32.770833333333336,
14,9,fixed_tp,1.5,True,25,True,45,1.2,24,100.0,801.9010024782344,9.770740199482503,inf,32.770833333333336,
10,9,fixed_tp,1.0,True,25,True,40,0.8,32,100.0,780.3359038214007,9.714023799813999,inf,27.953125,
10,9,fixed_tp,1.0,True,25,False,40,0.8,32,100.0,780.3359038214007,9.714023799813999,inf,27.953125,
10,9,fixed_tp,1.5,True,25,True,45,1.2,25,100.0,826.3072021553073,9.70465792679121,inf,31.65,
10,9,fixed_tp,1.5,True,25,False,45,1.2,25,100.0,826.3072021553073,9.70465792679121,inf,31.65,
10,9,fixed_tp,2.0,False,20,True,45,1.2,21,100.0,822.4362849992168,9.701833129365532,inf,38.70238095238095,
10,9,fixed_tp,2.0,True,20,False,45,1.2,21,100.0,822.4362849992168,9.701833129365532,inf,38.70238095238095,
10,9,fixed_tp,2.0,False,20,False,45,1.2,21,100.0,822.4362849992168,9.701833129365532,inf,38.70238095238095,
10,9,fixed_tp,2.0,True,20,True,45,1.2,21,100.0,822.4362849992168,9.701833129365532,inf,38.70238095238095,
14,9,fixed_tp,0.5,True,25,False,35,0.8,37,100.0,458.9485312148007,9.672699074106747,inf,15.993243243243244,
14,9,fixed_tp,0.5,True,25,True,35,0.8,37,100.0,458.9485312148007,9.672699074106747,inf,15.993243243243244,
10,14,fixed_tp,0.5,True,20,True,35,1.2,35,100.0,421.3156433928634,9.665987184301992,inf,17.185714285714287,
10,14,fixed_tp,0.5,True,20,False,35,1.2,35,100.0,421.3156433928634,9.665987184301992,inf,17.185714285714287,
10,14,fixed_tp,0.5,False,20,True,35,1.2,35,100.0,421.3156433928634,9.665987184301992,inf,17.185714285714287,
