combination,side,asset_class,symbol,trades,pool_sharpe,win_rate,max_dd_pct,acc_gain_pct,avg_gain_trade,n_years,bh_pct
baseline,LONG,crypto,BLURUSDT,825,0.3644,58.42,2.06,312.07,0.3783,0.10,-17.26
baseline,LONG,crypto,BNBUSDC,20484,0.3861,57.53,4.49,3264.26,0.1594,2.39,108.79
baseline,LONG,crypto,BSVUSDT,836,0.3414,54.78,1.86,122.67,0.1467,0.10,-6.91
baseline,LONG,crypto,BTCDOMUSDT,41848,0.2806,49.62,3.00,3170.29,0.0758,4.89,457.68
baseline,LONG,crypto,BTCUSDC,20597,0.3632,54.45,2.38,2605.77,0.1265,2.39,77.25
baseline,LONG,crypto,C98USDT,40334,0.4168,63.25,7.94,15408.64,0.3820,4.67,-99.28
baseline,LONG,crypto,CELRUSDT,43618,0.4396,63.38,5.26,18000.27,0.4127,5.07,-96.87
baseline,LONG,crypto,CHRUSDT,44140,0.4229,63.52,6.84,19245.12,0.4360,5.17,-95.64
baseline,LONG,crypto,COMPUSDT,49874,0.4375,62.21,5.84,18898.11,0.3789,5.82,-91.64
baseline,LONG,crypto,COTIUSDT,44511,0.4237,62.91,5.29,18914.61,0.4249,5.17,-96.80
baseline,LONG,crypto,CRVUSDC,874,0.4435,56.98,1.55,200.11,0.2290,0.10,-2.21
baseline,LONG,crypto,DASHUSDT,53366,0.4047,62.17,9.27,18339.45,0.3437,6.22,-61.89
baseline,LONG,crypto,DOGEUSDC,5187,0.3920,58.07,3.31,1107.18,0.2135,0.59,-55.07
baseline,LONG,crypto,DOTUSDT,48553,0.4224,61.53,5.72,16361.01,0.3370,5.67,-57.95
baseline,LONG,crypto,EGLDUSDT,48327,0.4286,62.34,5.39,17354.41,0.3591,5.66,-70.53
baseline,LONG,crypto,EIGENUSDT,799,0.4767,62.45,3.00,309.47,0.3873,0.09,37.33
baseline,LONG,crypto,ENAUSDC,796,0.4668,59.17,1.87,224.70,0.2823,0.09,-12.44
baseline,LONG,crypto,ENJUSDT,47246,0.3728,62.97,5.36,19337.68,0.4093,5.54,-73.31
baseline,LONG,crypto,ENSUSDT,853,0.4484,59.79,1.40,189.36,0.2220,0.10,7.23
baseline,LONG,crypto,ETCUSDT,51546,0.3863,60.86,7.55,15993.75,0.3103,6.02,15.30
baseline,LONG,crypto,ETHFIUSDC,849,0.4722,57.36,2.35,184.24,0.2170,0.10,-18.42
baseline,LONG,crypto,ETHUSDC,20687,0.4063,58.65,2.89,3959.16,0.1914,2.39,-6.01
baseline,LONG,crypto,FARTCOINUSDT,848,0.4901,60.02,2.54,271.59,0.3203,0.10,-10.87
baseline,LONG,crypto,FIDAUSDT,788,0.3002,58.12,3.96,451.01,0.5723,0.09,103.40
baseline,LONG,crypto,FILUSDC,857,0.3789,57.64,2.24,197.74,0.2307,0.10,7.41
baseline,LONG,crypto,FLOWUSDT,804,0.4253,58.21,2.20,208.27,0.2590,0.09,-14.46
baseline,LONG,crypto,FLUXUSDT,798,0.4685,57.89,3.10,248.37,0.3112,0.09,18.91
baseline,LONG,crypto,GALAUSDT,773,0.4483,59.64,1.66,204.25,0.2642,0.09,-1.16
baseline,LONG,crypto,GMTUSDT,774,0.2965,56.59,2.58,214.89,0.2776,0.09,-7.73
baseline,LONG,crypto,GRASSUSDT,836,0.4907,63.52,1.63,430.68,0.5152,0.10,79.74
baseline,LONG,crypto,GRTUSDT,46121,0.4395,62.66,7.02,19309.13,0.4187,5.39,-90.83
baseline,LONG,crypto,GTCUSDT,41866,0.4027,64.03,8.80,17316.86,0.4136,4.87,-99.39
baseline,LONG,crypto,HIVEUSDT,882,0.1770,56.80,1.76,182.23,0.2066,0.10,0.75
baseline,LONG,crypto,HOTUSDT,43512,0.3885,62.37,15.15,15597.94,0.3585,5.07,-97.14
baseline,LONG,crypto,ICPUSDT,809,0.4039,58.96,1.95,234.20,0.2895,0.09,4.07
baseline,LONG,crypto,INJUSDT,870,0.4865,60.69,2.07,343.72,0.3951,0.10,78.03
baseline,LONG,crypto,INXUSDT,863,0.4630,64.31,2.43,425.03,0.4925,0.10,8.11
baseline,LONG,crypto,IOSTUSDT,54246,0.2868,60.80,343.17,18069.85,0.3331,6.20,-82.08
baseline,LONG,crypto,IOTAUSDT,53011,0.4268,62.46,8.32,19068.28,0.3597,6.20,-82.30
baseline,LONG,crypto,IOTXUSDT,42296,0.3322,59.98,483.08,14019.96,0.3315,4.78,-96.94
baseline,LONG,crypto,IOUSDT,823,0.3118,61.73,2.09,338.11,0.4108,0.10,26.80
baseline,LONG,crypto,IPUSDC,892,0.3841,54.48,1.42,188.22,0.2110,0.10,-9.81
baseline,LONG,crypto,KAITOUSDC,880,0.4366,59.89,2.43,247.98,0.2818,0.10,12.02
