symbol,side,open_ts,close_ts,held_min,avg_entry,exit_px,actual_pnl,pnl_+2h,pnl_+6h,pnl_+24h,reason_prefix,full_reason
DOGEUSDC,LONG,2026-03-28T17:54:30+00:00,2026-03-28T18:20:37+00:00,26.1,0.09241,0.09252514,0.1246,-1.515,-1.515,-1.937,QUICK_HEDGE_PROTECT,QUICK_HEDGE_PROTECT_SHORT_LOSS
DOGEUSDC,SHORT,2026-03-19T23:36:49+00:00,2026-03-21T23:52:21+00:00,2895.5,0.09410204616949658,0.09161852,2.6392,3.2858,3.2858,3.2858,QUICK_HEDGE_ELECTED,QUICK_HEDGE_ELECTED_SEIUSDT_LONG
DOGEUSDC,SHORT,2026-03-21T23:53:23+00:00,2026-03-21T23:53:30+00:00,0.1,0.09308,0.09405626,-1.0488,2.2239,2.2239,2.2239,QUICK_HEDGE_ELECTED,QUICK_HEDGE_ELECTED_SEIUSDT_LONG
EDUUSDT,SHORT,2026-03-17T23:57:38+00:00,2026-03-21T23:52:57+00:00,5755.3,0.0797109683696919,0.07885468,1.0742,27.3626,27.3626,27.3626,ALL_ALL_RED,ALL_ALL_RED_DIRECT_OPEN_losers_all_red_rank1
EDUUSDT,SHORT,2026-03-28T02:34:12+00:00,2026-03-28T03:05:36+00:00,31.4,0.06297713149321267,0.06279185,0.2942,8.0619,8.0619,8.0619,QUICK_OPEN_STRONG,QUICK_OPEN_STRONG_SELL_k1:36/d132/k3:5.86/d3:1.95_@0.0632_DC_BREAKOUT_DC1H_x2.0@0.0637
EGLDUSDT,SHORT,2026-03-17T09:22:54+00:00,2026-03-17T12:43:25+00:00,200.5,4.37353781,4.354,0.4467,0.5611,0.2455,3.9359,QUICK_BASIS_CONDITION,QUICK_BASIS_CONDITION_VIOLATION
EGLDUSDT,SHORT,2026-03-19T13:14:57+00:00,2026-03-22T02:08:07+00:00,3653.2,3.999638657608696,3.9723097,0.6833,0.156,1.1561,1.9761,QUICK_HEDGE_PROTECT,QUICK_HEDGE_PROTECT_SHORT_LOSS
ENAUSDC,LONG,2026-03-28T17:29:25+00:00,2026-03-28T18:36:15+00:00,66.8,0.09270451000000003,0.0945,1.9368,-1.6229,-1.6229,-1.6229,QUICK_HEDGE_MOMENTUM,QUICK_HEDGE_MOMENTUM_FLIP_REDUCE
ENAUSDC,SHORT,2026-03-18T15:27:00+00:00,2026-03-18T18:01:02+00:00,154.0,0.1074,0.1081,-0.6518,15.0838,15.0838,15.0838,Manual/System Detection,Manual/System Detection
ETHFIUSDC,LONG,2026-03-28T17:30:02+00:00,2026-03-28T18:15:56+00:00,45.9,0.46320000000000006,0.4678,0.9931,2.2884,2.2884,2.2884,QUICK_HEDGE_MOMENTUM,QUICK_HEDGE_MOMENTUM_FLIP_REDUCE
ETHFIUSDC,LONG,2026-03-28T18:18:54+00:00,2026-03-28T18:52:32+00:00,33.6,0.4664000000000001,0.4664,-0.0,1.5866,1.5866,1.5866,QUICK_HEDGE_PROTECT,QUICK_HEDGE_PROTECT_SHORT_LOSS
ETHFIUSDC,SHORT,2026-03-18T11:33:49+00:00,2026-03-18T11:48:07+00:00,14.3,0.5639762320824294,0.5582,1.0242,15.9894,15.9894,15.9894,Manual/System Detection,Manual/System Detection
ETHFIUSDC,SHORT,2026-03-19T08:08:11+00:00,2026-03-19T08:34:41+00:00,26.5,0.5499693039370079,0.5475,0.449,13.8497,13.8497,13.8497,QUICK_BREAK_EVEN,QUICK_BREAK_EVEN_GUARD_CLOSE_peak3.70%_curr0.64%
FETUSDT,SHORT,2026-03-18T06:48:09+00:00,2026-03-18T08:10:57+00:00,82.8,0.226961455,0.22467098,1.0092,0.3796,2.0979,6.6802,Manual/System Detection,Manual/System Detection
FIDAUSDT,SHORT,2026-04-02T00:56:43+00:00,2026-04-02T01:01:07+00:00,4.4,0.01592957226640159,0.01578124,0.9312,5.5216,-3.0159,-19.1495,GUARANTEED_REENTRY_k1m85,GUARANTEED_REENTRY_k1m85_k3m35_exit0.0153_px0.0154_crossedFalse_attempt1
FLUXUSDT,LONG,2026-03-29T05:22:40+00:00,2026-04-02T00:14:38+00:00,5452.0,0.055992722346723034,0.05877,4.9601,2.9777,0.2273,-1.4336,FORCE_REDUCE_OVERSIZE,FORCE_REDUCE_OVERSIZE_83>$20
GALAUSDT,SHORT,2026-03-16T21:49:45+00:00,2026-03-16T22:56:55+00:00,67.2,0.003675147444754199,0.00369934,-0.6583,21.9079,21.9079,21.9079,Manual/System Detection,Manual/System Detection
GRTUSDT,LONG,2026-04-06T01:17:49+00:00,2026-04-06T02:14:50+00:00,57.0,0.023810000000000005,0.02381,-0.0,0.336,1.26,-0.966,QUICK_HEDGE_ORPHAN,QUICK_HEDGE_ORPHAN_KILL_no_original
GRTUSDT,LONG,2026-04-06T08:41:21+00:00,2026-04-06T08:50:42+00:00,9.3,0.02418,0.02421,0.1241,1.6956,0.2481,-1.861,QUICK_BANDAID_OFF,QUICK_BANDAID_OFF_wt15m_6.2>8.7_hgain0.45%
HIVEUSDT,LONG,2026-03-29T15:01:36+00:00,2026-03-29T15:05:04+00:00,3.5,0.056368215,0.05629,-0.1388,3.5513,3.5513,1.8659,HEDGE_PROTECT_SHORT,HEDGE_PROTECT_SHORT_LOSS
HIVEUSDT,LONG,2026-03-29T16:05:44+00:00,2026-03-29T16:07:51+00:00,2.1,0.0562090380994152,0.05620904,0.0,3.8445,3.8445,2.8304,HEDGE_PROTECT_SHORT,HEDGE_PROTECT_SHORT_LOSS
HYPEUSDT,LONG,2026-03-17T14:49:01+00:00,2026-03-19T03:17:50+00:00,2188.8,41.37380444013236,41.34099061,-0.0793,-0.3113,-4.3356,-4.2293,Manual/System Detection,Manual/System Detection
HYPEUSDT,LONG,2026-03-19T06:16:23+00:00,2026-03-19T12:11:36+00:00,355.2,41.478166664999996,39.3210885,-5.2005,-5.8203,-4.1158,-5.4611,Manual/System Detection,Manual/System Detection
ICPUSDT,SHORT,2026-03-18T01:10:28+00:00,2026-03-18T13:23:35+00:00,733.1,2.6613879799999998,2.59538091,2.4802,14.5934,14.5934,14.5934,Manual/System Detection,Manual/System Detection
ICXUSDT,SHORT,2026-03-20T01:05:22+00:00,2026-03-28T02:27:26+00:00,11602.1,0.0336474573177808,0.0336,0.141,-0.1562,-0.1562,-0.1562,OS_HIGHER_LOW,OS_HIGHER_LOW_k15:0.0_lo3:0.03>prev:0.03
IDUSDT,LONG,2026-04-04T10:58:23+00:00,2026-04-04T11:29:24+00:00,31.0,0.03173218999999998,0.03173219,0.0,0.1507,-1.1099,-3.568,QUICK_HEDGE_BAL,QUICK_HEDGE_BAL_CLOSE_SENT-1_RATIO0.00
IDUSDT,LONG,2026-04-04T11:30:08+00:00,2026-04-04T11:56:40+00:00,26.5,0.03179,0.03179,0.0,-0.2517,-1.8874,-3.9006,WT_15M_SAME,WT_15M_SAME_HEDGE_FOR_inf:IDUSDT_SHORT_wt116.6
IDUSDT,LONG,2026-04-04T12:04:00+00:00,2026-04-04T12:07:53+00:00,3.9,0.03203,0.03203,0.0,-0.7181,-2.4977,-5.37,QUICK_HEDGE_SAME,QUICK_HEDGE_SAME_SYM_LAST_RESORT
IDUSDT,LONG,2026-04-04T12:22:49+00:00,2026-04-04T20:03:06+00:00,460.3,0.031893842490118576,0.03169067,-0.637,-0.5764,-1.6111,-6.0947,QUICK_REDUCE_STRONG,QUICK_REDUCE_STRONG_REDUCE_k_1m:99/d_1m:99/k_3m:87/d_3m:74_SIMPLE_TP_0.00%_wt=declining_bc112_REDUCE
IMXUSDT,SHORT,2026-03-18T06:45:32+00:00,2026-03-18T08:23:04+00:00,97.5,0.17724143923423424,0.17717817,0.0357,16.216,16.216,16.216,Manual/System Detection,Manual/System Detection
INXUSDT,LONG,2026-04-02T10:42:10+00:00,2026-04-02T11:52:29+00:00,70.3,0.011806270000000002,0.01182418,0.1517,-0.0108,1.5816,1.9543,ORPHANED_HEDGE_INSTANT,ORPHANED_HEDGE_INSTANT_KILL
INXUSDT,SHORT,2026-04-02T10:41:50+00:00,2026-04-02T10:46:36+00:00,4.8,0.011792,0.011707,0.7208,0.0509,-0.1272,-2.0777,QUICK_REDUCE_STRONG,QUICK_REDUCE_STRONG_REDUCE_k_1m:0/d_1m:3/k_3m:55/d_3m:77_SIMPLE_TP_0.00%_wt=deep_tp_bc112_REDUCE
IOTAUSDT,LONG,2026-03-28T02:48:44+00:00,2026-03-28T03:39:45+00:00,51.0,0.05470000000000001,0.0547,-0.0,1.4625,1.4625,1.4625,QUICK_HEDGE_KILL,QUICK_HEDGE_KILL_STRICT_LOSS_0.00%_REDUCE
IOTAUSDT,LONG,2026-04-08T01:55:10+00:00,2026-04-08T02:11:08+00:00,16.0,0.05993,0.0602,0.4505,-0.2169,0.4505,-4.0547,HEDGE_PROTECT_SHORT,HEDGE_PROTECT_SHORT_LOSS
