cfg_ENTRY_SCORE_THRESHOLD,cfg_MIN_GAIN_TO_BUY_AGGRESSIVELY,cfg_RATIO_MULTIPLIER,cfg_REENTRY_STOCH_K_MAX,cfg_STRICT_NO_LOSS,cfg_WT_HTF_GATE_MIN,cfg_WT_LTF_GATE_MIN,config_id,elapsed_s,error
14,2.0,3.0,80,True,2,2,v7_0133,0.00026154518127441406,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,True,2,3,v7_0134,0.0003483295440673828,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,False,0,1,v7_0135,0.0002586841583251953,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,False,0,2,v7_0136,0.0002741813659667969,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,False,0,3,v7_0137,0.0002605915069580078,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,False,1,1,v7_0138,0.0002701282501220703,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,False,1,2,v7_0139,0.000255584716796875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,False,1,3,v7_0140,0.00026488304138183594,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,False,2,1,v7_0141,0.0002567768096923828,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,False,2,2,v7_0142,0.0002624988555908203,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,3.0,80,False,2,3,v7_0143,0.0002579689025878906,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,True,0,1,v7_0144,0.0002491474151611328,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,True,0,2,v7_0145,0.0002872943878173828,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,True,0,3,v7_0146,0.0002570152282714844,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,True,1,1,v7_0147,0.0002903938293457031,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,True,1,2,v7_0148,0.00025773048400878906,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,True,1,3,v7_0149,0.0002551078796386719,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,True,2,1,v7_0150,0.00023651123046875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,True,2,2,v7_0151,0.0002410411834716797,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,True,2,3,v7_0152,0.0002865791320800781,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,False,0,1,v7_0153,0.0002422332763671875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,False,0,2,v7_0154,0.0002694129943847656,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,False,0,3,v7_0155,0.0002803802490234375,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,False,1,1,v7_0156,0.00026106834411621094,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,False,1,2,v7_0157,0.0002465248107910156,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,False,1,3,v7_0158,0.0002384185791015625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,False,2,1,v7_0159,0.00022292137145996094,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,False,2,2,v7_0160,0.00022101402282714844,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,40,False,2,3,v7_0161,0.0002529621124267578,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,True,0,1,v7_0162,0.00025534629821777344,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,True,0,2,v7_0163,0.000217437744140625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,True,0,3,v7_0164,0.0002219676971435547,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,True,1,1,v7_0165,0.00022935867309570312,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,True,1,2,v7_0166,0.000225067138671875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,True,1,3,v7_0167,0.00022935867309570312,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,True,2,1,v7_0168,0.00025653839111328125,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,True,2,2,v7_0169,0.00026345252990722656,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,True,2,3,v7_0170,0.0002422332763671875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,False,0,1,v7_0171,0.00022101402282714844,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,False,0,2,v7_0172,0.0002205371856689453,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,False,0,3,v7_0173,0.00021886825561523438,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,False,1,1,v7_0174,0.00027942657470703125,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,False,1,2,v7_0175,0.000225067138671875,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,False,1,3,v7_0176,0.00021910667419433594,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,False,2,1,v7_0177,0.0002181529998779297,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,False,2,2,v7_0178,0.00022745132446289062,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,50,False,2,3,v7_0179,0.00025153160095214844,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,60,True,0,1,v7_0180,0.00023484230041503906,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,60,True,0,2,v7_0181,0.0002231597900390625,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
14,2.0,4.0,60,True,0,3,v7_0182,0.00021886825561523438,[Errno 2] No such file or directory: '/home/niels/.conda/envs/binance_env/bin/python'
