system,param,current_value,vectorizable,why_logic
crypto,DELTA_MIN_TF_FOR_ACTION,2,YES,IF-GATE
crypto,DELTA_REENTRY_FILTER_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,DELTA_REENTRY_HTF_GATE,4h,MAYBE_STATE,kw
crypto,DELTA_REENTRY_MIN_TF,2,YES,kw
crypto,DELTA_REENTRY_REQUIRE_NOT_EXITING,True,MAYBE_STATE,kw
crypto,DELTA_REENTRY_Z_THRESHOLD,1,YES,kw
crypto,DELTA_SCORE_WEIGHT,30,YES,kw
crypto,DELTA_SERVICE_BLEED_STOP,True,MAYBE_STATE,kw
crypto,DELTA_SERVICE_REDUCE_GATE,True,MAYBE_STATE,IF-GATE
crypto,DELTA_SERVICE_TRAILING_STOP,True,MAYBE_STATE,IF-GATE
crypto,EMA200_STOCHRSI_BODY_MULT,1.05,YES,IF-GATE
crypto,EMA200_STOCHRSI_ENABLED,False,YES,IF-GATE
crypto,EMA200_STOCHRSI_K_LONG,20,YES,IF-GATE
crypto,EMA200_STOCHRSI_K_SHORT,80,YES,IF-GATE
crypto,EMA200_STOCHRSI_SCORE,25,YES,kw
crypto,EMA200_STOCHRSI_TF,1h,YES,kw
crypto,EMA_DIST_ENTRY_ENABLED,True,YES,IF-GATE
crypto,EMA_DIST_LONG_THRESHOLD,-1,YES,IF-GATE
crypto,EMA_DIST_SHORT_THRESHOLD,1,YES,kw
crypto,EMA_DIST_SIZING_ENABLED,True,YES,IF-GATE
crypto,EMA_DIST_SIZING_MULT,2,YES,kw
crypto,EMA_PULLBACK_ENABLED,False,YES,IF-GATE
crypto,EMA_PULLBACK_SCORE_BONUS,35,YES,kw
crypto,EMA_PULLBACK_TF,15m,YES,kw
crypto,ENABLE_FAST_RISER_REDUCE,True,MAYBE_STATE,kw
crypto,ENABLE_LOSS_PROTECTION,True,YES,IF-GATE
crypto,ENABLE_MULTI_INSTANCE_ON_MACBOOK,False,MAYBE_STATE,IF-GATE
crypto,ENTRY_ATR_PCT_MIN,1.5,YES,IF-GATE
crypto,ENTRY_SYMGATE_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,ENTRY_VET_NO_STRUCT_OR_BREAKOUT_REQUIRED,True,MAYBE_STATE,kw
crypto,ENTRY_VET_RELAX_MODE,1,MAYBE_STATE,kw
crypto,ENTRY_VOL_MIN_RATIO,1.3,YES,kw
crypto,EVAL_REENTRY_ENABLED,True,MAYBE_STATE,kw
crypto,EXECUTE_NOW_SINGLE_GATE_ENFORCE,True,MAYBE_STATE,IF-GATE
crypto,EXECUTE_NOW_WIRE_TRIPWIRE_MAX_LAG_S,5,YES,kw
crypto,EXECUTE_NOW_WIRE_TRIPWIRE_SHADOW,True,MAYBE_STATE,IF-GATE
crypto,EXIT_AUTO_REDUCE_CROSSUNDER_ENABLED,False,MAYBE_STATE,kw
crypto,EXIT_MARKET_SPIKE_REDUCE_ENABLED,True,MAYBE_STATE,kw
crypto,EXIT_ON_ALL_ENABLED,False,MAYBE_STATE,kw
crypto,EXIT_OVERRIDE_REDUCE_DETERIORATED_ENABLED,True,MAYBE_STATE,kw
crypto,EXIT_PREEMPTIVE_BREAKEVEN_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,EXTREME_MODE,False,MAYBE_STATE,IF-GATE
crypto,EXTREME_OB_BB_PCT_B_4H_MIN,1,YES,kw
crypto,EXTREME_OB_RSI_4H_MIN,80,YES,kw
crypto,EXTREME_OB_RSI_D_MIN,75,YES,kw
crypto,EZ_KLINES_MAX_CONCURRENT,None,YES,kw
crypto,EZ_MANAGE_MAKER_SEMAPHORE,None,YES,kw
crypto,EZ_REENTRY_DAEMON_ENABLED,True,MAYBE_STATE,kw
crypto,EZ_REENTRY_INLINE_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,EZ_REENTRY_INLINE_EVAL_EPQ_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,EZ_REENTRY_INLINE_LOOP_ENFORCE_ENABLED,False,MAYBE_STATE,kw
crypto,EZ_REENTRY_INLINE_LOOP_ENFORCE_EPQ_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,EZ_REENTRY_INLINE_LOOP_EVAL2_EPQ_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,EZ_REENTRY_INLINE_LOOP_PERIODIC_ENABLED,False,MAYBE_STATE,kw
crypto,EZ_REENTRY_INLINE_TIER12_EPQ_ENABLED,False,MAYBE_STATE,IF-GATE
crypto,EZ_REENTRY_PRICE_CROSS_GUARANTEE_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,EZ_REENTRY_PRICE_CROSS_MAX_AGE_HOURS,48,YES,kw
crypto,EZ_REENTRY_PRICE_CROSS_MAX_FIRES_PER_TICK,20,YES,kw
crypto,EZ_REENTRY_PRICE_CROSS_PARTIAL_FRAC,0.5,MAYBE_STATE,kw
crypto,EZ_REENTRY_PRICE_CROSS_PCT,0,YES,kw
crypto,EZ_REENTRY_QUEUE_CONSUMER_ENABLED,True,MAYBE_STATE,IF-GATE
crypto,FAST_CUT_LOSS_MIN_AGE_MINUTES,15,YES,kw
crypto,FG_FEAR_THRESHOLD,25,YES,IF-GATE
crypto,FG_GREED_THRESHOLD,75,YES,kw
