symbol_side,winning_tag,vectorized_sharpe,vectorized_trades,vectorized_gain_pct,sample_tag,cycle_id,ppl_enabled,ppl_gain_pct,ppl_arm_gain_pct,ppl_be_buffer_pct,ppl_frac,wt_3m_force_open,long_enabled,short_enabled,dc_long_enabled,dc_short_enabled,settings_stamp,raw_returns_count
SLV_LONG,fotest_baseline_SLV_LONG_2026-07-07,,,,FOTEST_PERSYM_BASELINE_DIAGNOSTIC,,False,,,,,False,True,,,,,0
SMG_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,True,,,,0
SNDK_LONG,fotest_baseline_SNDK_LONG_2026-07-07,,,,FOTEST_PERSYM_BASELINE_DIAGNOSTIC,,False,,,,,False,False,,,,,0
SNOW_LONG,N/A,,,,,,False,,,,,False,,,,,,0
SNXUSDT_LONG,crypto_all_SNXUSDT_2026-05-03,0.3310546086791559,86.0,,CRYPTO_ALL,,False,,,,,False,True,,,,,0
SNXUSDT_SHORT,fotest_baseline_SNXUSDT_SHORT_2026-07-08,-0.09084105857185856,306.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
SOLUSDC_LONG,fotest_baseline_SOLUSDC_LONG_2026-07-07,0.9315501078919736,123.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,True,,,,,0
SOLUSDC_SHORT,flz8_SOLUSDC_2026-05-03,0.5438850822509765,9515.0,,FLZ8,,False,,,,,False,,,,,,0
SPCXUSDT_LONG,N/A,,0.0,,NO_TRADES,,False,,,,,False,True,,,,,0
SPCXUSDT_SHORT,N/A,,,,,,False,,,,,False,,True,,,,0
SPXUSDT_LONG,N/A,,0.0,,NO_TRADES,,False,,,,,False,False,,,,,0
STLD_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
STORJUSDT_SHORT,fotest_baseline_STORJUSDT_SHORT_2026-07-08,-0.16905768987820757,232.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
STRKUSDT_SHORT,fotest_baseline_STRKUSDT_SHORT_2026-07-08,-0.11942841720148184,282.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
STXUSDT_SHORT,fotest_baseline_STXUSDT_SHORT_2026-07-08,-0.10799820102841895,287.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
STZ_SHORT,RULE_A_on_SHORT,,,,NO_TRADES,,False,,,,,False,False,False,False,True,,9
SUIUSDC_SHORT,fotest_baseline_SUIUSDC_SHORT_2026-07-08,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
SUNUSDT_LONG,N/A,,0.0,,NO_TRADES,,False,,,,,False,True,,,,,0
SUSHIUSDT_LONG,crypto_all_SUSHIUSDT_2026-05-03,0.3467045127130338,78.0,,CRYPTO_ALL,,False,,,,,False,,,,,,0
SUSHIUSDT_SHORT,fotest_baseline_SUSHIUSDT_SHORT_2026-07-08,-0.23868628049633422,289.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
SXPUSDT_LONG,crypto_all_SXPUSDT_2026-05-02,0.3035271291149451,105.0,,CRYPTO_ALL,,False,,,,,False,,,,,,0
SXPUSDT_SHORT,crypto_all_SXPUSDT_2026-05-02,0.3035271291149451,105.0,,CRYPTO_ALL,,False,,,,,False,,True,,,,0
TAOUSDT_SHORT,fotest_baseline_TAOUSDT_SHORT_2026-07-08,0.896493872123314,190.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
TDG_SHORT,N/A,,,,NO_TRADES,,False,,,,,False,,False,,,,0
TECK_LONG,N/A,,,,,,False,,,,,False,,,,,,0
TECK_SHORT,PPL_v2_loose_SHORT,0.8422,39.0,17.9368,,,True,0.6,0.9,0.05,0.5,False,False,True,False,True,eng:c6b8095f94+tm:42bc5b534c+wdd:1c8b4a8358+cfgt:cfcdca3628,39
THETAUSDT_LONG,crypto_all_THETAUSDT_2026-05-03,0.41102831353902,119.0,,CRYPTO_ALL,,False,,,,,False,False,,,,,0
THETAUSDT_SHORT,fotest_baseline_THETAUSDT_SHORT_2026-07-07,,,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,False,,,,0
TIAUSDC_LONG,fotest_baseline_TIAUSDC_LONG_2026-07-08,0.24326405431765794,101.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,True,,,,,0
TLMUSDT_LONG,fotest_baseline_TLMUSDT_LONG_2026-07-08,0.6090104353389616,113.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,False,,,,,0
TNSRUSDT_SHORT,fotest_baseline_TNSRUSDT_SHORT_2026-07-08,0.07078652155735622,405.0,,FOTEST_PERSYM_BASELINE,,False,,,,,False,,True,,,,0
