Switch,Scope,Scope_Reason,Verdict,Reason,Groups,Source_Sheets,Declared_Quick,Read_Quick,Read_Wide,Read_Scalar,Read_Live_Crypto,Read_Live_Stock,Values_Defined,TFs_Tested,Empirical_Rows,Unique_Behaviors,Unique_Deltas
BAND_SLOPE_SIZING_V2_DEPTH_GAIN,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 1h,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D|SIZING,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,"[0.5,0.75,1.0,1.25,1.5]",3m|15m|1h|4h|D,25,16,12
BAND_SLOPE_SIZING_V2_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 1h,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D|SIZING,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,True,False,"[false,true]",3m|15m|1h|4h|D,10,7,6
BAND_SLOPE_SIZING_V2_MAX,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 1h,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D|SIZING,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,"[1.25,1.875,2.5,3.125,3.75,1.8,1.0]",3m|15m|1h|4h|D,35,9,8
BAND_SLOPE_SIZING_V2_MIN,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 1h,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D|SIZING,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,"[0.25,0.375,0.5,0.625,0.75,0.7,1.0]",3m|15m|1h|4h|D,35,13,13
BAND_SLOPE_SIZING_V2_SLOPE_NORM_PCT_DAY,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 1h,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D|SIZING,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,False,True,True,False,"[0.5,0.75,1.0,1.25,1.5]",3m|15m|1h|4h|D,25,16,12
BAND_SLOPE_SIZING_V2_TF,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,PASS,all applicable values/timeframes change real execution uniquely,ENGINE_AUTO_WIRED|EXIT|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D,True,True,False,True,True,False,"[""D"",""3m"",""15m"",""1h"",""4h""]",3m|15m|1h|4h|D,5,5,5
BB_RSI_STOCH_BB_MAX,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|OTHER|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,False,False,"[0.3,0.15,0.225,0.375,0.45,1.0]",3m|15m|1h|4h|D,30,4,4
BB_RSI_STOCH_K_MAX,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|OTHER|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,False,False,"[15.0,22.5,30.0,37.5,45.0,1.0]",3m|15m|1h|4h|D,30,4,4
BB_RSI_STOCH_RSI_MAX,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|OTHER|QUICK_CONFIG|RECENT_5D,ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,False,False,"[20.0,30.0,40.0,50.0,60.0,1.0]",3m|15m|1h|4h|D,30,4,4
BB_RSI_STOCH_SCALP_ENABLED,STRATEGY_CAUSAL,declared strategy/catalog/live-path setting,INERT,no value changes execution at 3m,ENGINE_AUTO_WIRED|ENTRY|GLOBAL|QUICK_CONFIG|RECENT_5D,DISCONNECTED_LIVE_PATHS|ENGINE_AUTO_WIRED|QUICK_CONFIG|RECENT_RESULTS_5D|SWITCH_CATALOG,True,True,True,True,True,False,"[false,true]",3m|15m|1h|4h|D,10,4,4
