sym,switch,candidate,window,F_vec_delta,G_live_delta,F_filling,G_filling,vec_trades,live_trades,parity_pp
BNBUSDC_LONG,HTF_GATE_SIGNALS_SMA200D,True,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,INTRADAY_SESSION_FORCE_EXIT_UTC,0,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,INTRADAY_SESSION_FORCE_EXIT_UTC,0,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,INTRADAY_SESSION_FORCE_EXIT_UTC,0.5,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,INTRADAY_SESSION_FORCE_EXIT_UTC,0.5,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,INTRADAY_SESSION_FORCE_EXIT_UTC,1.0,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,INTRADAY_SESSION_FORCE_EXIT_UTC,1.0,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,INTRADAY_SESSION_FORCE_EXIT_UTC,2.0,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,INTRADAY_SESSION_FORCE_EXIT_UTC,2.0,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,MACD_ZERO_CROSS_ENABLED,False,365,0.0,0,False,False,33,0,0.0
BNBUSDC_LONG,MACD_ZERO_CROSS_ENABLED,False,30,0.0,0,False,False,8,0,0.0
BNBUSDC_LONG,MACD_ZERO_CROSS_ENABLED,True,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,MACD_ZERO_CROSS_ENABLED,True,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,8,365,0.0,0,True,False,33,0,0.0
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,8,30,-0.0685,0,True,False,12,0,0.0685
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,11,365,-0.0075,0,True,False,34,0,0.0075
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,11,30,0.1782,0,True,False,12,0,0.1782
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,15,365,0.0,0,True,False,35,0,0.0
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,15,30,0.189,0,True,False,12,0,0.189
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,19,365,-0.0003,0,True,False,35,0,0.0003
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,19,30,0.1718,0,True,False,12,0,0.1718
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,22,365,0.0012,0,True,False,31,0,0.0012
BNBUSDC_LONG,MACD_ZERO_CROSS_SCORE,22,30,-0.072,0,True,False,12,0,0.072
BNBUSDC_LONG,MACD_ZERO_CROSS_TF,OFF,365,0.0,0,False,False,0,0,0.1893
BNBUSDC_LONG,MACD_ZERO_CROSS_TF,OFF,30,0.0,0,False,False,0,0,0.2456
BNBUSDC_LONG,MACD_ZERO_CROSS_TF,D,365,0.0012,0,True,False,31,0,0.0012
BNBUSDC_LONG,MACD_ZERO_CROSS_TF,D,30,-0.072,0,True,False,12,0,0.072
BNBUSDC_LONG,MACD_ZERO_CROSS_TF,4h,365,0.0115,0,True,False,31,0,0.0115
