sheet,family,Switch,default,status,vector_causal,live_read,declared_in_quick,badly_wired,is_low_tf
ENTRY_PULLBACK_BOUNCE,ENTRY,HTF_DIRECTION_GATE_ENABLED,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HTF_GATE_BYPASS_RZ,0.0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HTF_GATE_D_MANDATORY,0.0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HTF_GATE_MIN_CONFIRMATIONS,0.0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HTF_TREND_VETO_BYPASS_ENABLED,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,HTF_TREND_VETO_BYPASS_REASONS,0.0,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,LEADERBOARD_FILTER,False,HOOKED_BOTH,True,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,LH_HL_FILTER_ENABLED,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,LH_HL_FILTER_MODE,STRICT_2BAR,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,LH_HL_FILTER_REQUIRE_BOTH,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,LH_HL_FILTER_TF_REQ,2,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,LIVE_ENTRY_ENGINE_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,LIVE_ONLY_SIGNALS_BATCH5_FILTER_TF,OFF,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,LIVE_VEC_EMERGENCY_BRAKE_ENABLED,False,QUICK_NOT_CAUSAL,False,True,True,False,
ENTRY_PULLBACK_BOUNCE,ENTRY,LR_BAND_LADDER_STOCH_EXTREME,30.0,QUICK_NOT_CAUSAL,False,True,True,False,
