host,path,mtime_utc,size_bytes,records,status
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/LINK_LONG.json,2026-08-20T23:18:23.425396+00:00,230,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/LOW_SHORT.json,2026-08-20T23:18:23.689891+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/LTC_LONG.json,2026-08-20T23:18:23.491048+00:00,229,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/MANAUSDT_SHORT.json,2026-08-20T23:18:10.665141+00:00,205,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/MAR_SHORT.json,2026-08-20T23:18:23.227967+00:00,228,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/META_SHORT.json,2026-08-20T23:18:10.689905+00:00,228,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/MOD_LONG.json,2026-08-20T23:18:10.665800+00:00,224,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/MOO_SHORT.json,2026-08-20T23:18:10.645051+00:00,198,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/MOS_LONG.json,2026-08-20T23:18:10.620074+00:00,224,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/MO_SHORT.json,2026-08-20T23:18:23.702873+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/MPLX_LONG.json,2026-08-20T23:18:23.298101+00:00,228,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/MRO_SHORT.json,2026-08-20T23:18:23.413136+00:00,198,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/MSFT_SHORT.json,2026-08-20T23:18:10.496597+00:00,211,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/NAT_LONG.json,2026-08-20T23:18:23.500182+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/NEM_.json,2026-08-20T23:18:23.740121+00:00,115,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/NET_LONG.json,2026-08-20T23:18:23.210584+00:00,226,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/NKE_SHORT.json,2026-08-20T23:18:23.240251+00:00,225,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/NNE_LONG.json,2026-08-20T23:18:23.329823+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/NNE_SHORT.json,2026-08-20T23:18:23.239791+00:00,228,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/NOC_SHORT.json,2026-08-20T23:18:10.642504+00:00,198,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/NVO_SHORT.json,2026-08-20T23:18:10.643345+00:00,199,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/NXE_LONG.json,2026-08-20T23:18:10.645981+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/OLED_LONG.json,2026-08-20T23:18:23.678350+00:00,227,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/ONDOUSDT_LONG.json,2026-08-20T23:18:23.508650+00:00,203,1,ok
mac,/Users/niels/Documents/binance/data/reports/gui_lab/11h_exact_w1/OXY_SHORT.json,2026-08-20T23:18:23.211814+00:00,225,1,ok
