switch,quickconfig_declared,vector_read,vector_causal_read,live_declared,live_read,exact_semantics,status,semantic_contract,executable_test,adapter_equivalent_names,vector_read_sites,vector_causal_read_sites,vector_synthetic_read_sites,live_read_sites,live_declaration_sites
EMA_BLANKET_FILTER_ENABLED,True,False,False,True,False,False,VECTOR_NOT_READ,,,"[""EMA_BLANKET_FILTER_ENABLED""]",[],[],[],[],"[""config.py:5237"",""config_tradier.py:3537""]"
EMA_BLANKET_FILTER_FILTER_TF,True,False,False,True,False,False,VECTOR_NOT_READ,,,"[""EMA_BLANKET_FILTER_FILTER_TF""]",[],[],[],[],"[""config.py:5238"",""config_tradier.py:3538""]"
EMA_BLANKET_FILTER_MIN_TFS,True,False,False,True,False,False,VECTOR_NOT_READ,,,"[""EMA_BLANKET_FILTER_MIN_TFS""]",[],[],[],[],"[""config.py:5239"",""config_tradier.py:3539""]"
EMA_DIST_ENTRY_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""EMA_DIST_ENTRY_ENABLED""]","[""v12_quick_engine.py:10679:getattr"",""v12_quick_engine.py:6875:getattr""]","[""v12_quick_engine.py:6875:getattr""]","[""v12_quick_engine.py:10679:getattr""]","[""ez_manage.py:35534:getattr"",""tradier_manage.py:11854:_cfg""]","[""config.py:2427"",""config_tradier.py:2356""]"
EMA_DIST_LONG_THRESHOLD,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""EMA_DIST_LONG_THRESHOLD""]","[""v12_quick_engine.py:13512:getattr"",""v12_quick_engine.py:6877:getattr""]","[""v12_quick_engine.py:6877:getattr""]","[""v12_quick_engine.py:13512:getattr""]","[""ez_manage.py:35538:attribute"",""ez_manage.py:35543:attribute"",""tradier_manage.py:11855:_cfg""]","[""config.py:2428"",""config_tradier.py:2357""]"
EMA_DIST_SHORT_THRESHOLD,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""EMA_DIST_SHORT_THRESHOLD""]","[""v12_quick_engine.py:13519:getattr"",""v12_quick_engine.py:6877:getattr""]","[""v12_quick_engine.py:6877:getattr""]","[""v12_quick_engine.py:13519:getattr""]","[""ez_manage.py:35546:attribute"",""ez_manage.py:35551:attribute"",""tradier_manage.py:11860:_cfg""]","[""config.py:2429"",""config_tradier.py:2358""]"
EMA_DIST_SIZING_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""EMA_DIST_SIZING_ENABLED""]","[""v12_quick_engine.py:12791:getattr"",""v12_quick_engine.py:9353:getattr""]","[""v12_quick_engine.py:9353:getattr""]","[""v12_quick_engine.py:12791:getattr""]","[""ez_manage.py:36030:getattr"",""tradier_manage.py:11865:_cfg""]","[""config.py:2447"",""config_tradier.py:2359""]"
EMA_DIST_SIZING_MULT,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""EMA_DIST_SIZING_MULT""]","[""v12_quick_engine.py:12794:getattr"",""v12_quick_engine.py:9356:getattr""]","[""v12_quick_engine.py:9356:getattr""]","[""v12_quick_engine.py:12794:getattr""]","[""ez_manage.py:36035:getattr"",""tradier_manage.py:11866:_cfg""]","[""config.py:2448"",""config_tradier.py:2360""]"
EMA_PULLBACK_ENABLED,True,True,True,True,True,True,EXACT_STATIC_SEMANTICS,parent gate for the EMA pullback additive entry score,test_v12_live_optional_tf_parity.py,"[""EMA_PULLBACK_ENABLED""]","[""v12_quick_engine.py:6452:attribute""]","[""v12_quick_engine.py:6452:attribute""]",[],"[""ez_positions_quick.py:4325:getattr""]","[""config.py:2714"",""config_tradier.py:2361""]"
EMA_PULLBACK_SCORE_BONUS,True,True,True,True,True,True,EXACT_STATIC_SEMANTICS,score added only when the complete side-aware EMA pullback predicate qualifies,test_v12_live_optional_tf_parity.py,"[""EMA_PULLBACK_SCORE_BONUS""]","[""v12_quick_engine.py:7228:attribute""]","[""v12_quick_engine.py:7228:attribute""]",[],"[""ez_positions_quick.py:4333:getattr"",""ez_positions_quick.py:4335:getattr""]","[""config.py:2715"",""config_tradier.py:2362""]"
EMA_PULLBACK_TF,True,True,True,True,True,True,EXACT_STATIC_SEMANTICS,native timeframe for EMA9/14/20 and stochastic pullback inputs,test_v12_live_optional_tf_parity.py,"[""EMA_PULLBACK_TF""]","[""v12_quick_engine.py:6453:attribute""]","[""v12_quick_engine.py:6453:attribute""]",[],"[""ez_positions_quick.py:4326:getattr""]","[""config.py:2716"",""config_tradier.py:2363""]"
EMA_SMA_9_21_CROSS_ENABLED,True,True,True,True,False,False,LIVE_NOT_READ,OR entry on a side-aware 9/21 EMA transition across available persisted TFs,test_v12_live_optional_tf_parity.py,"[""EMA_SMA_9_21_CROSS_ENABLED""]","[""v12_quick_engine.py:8484:getattr""]","[""v12_quick_engine.py:8484:getattr""]",[],[],"[""config.py:5433""]"
EMA_TF_15M_ENABLED,True,True,True,True,False,False,LIVE_NOT_READ,OR entry on the exact persisted 15m 9/21 EMA transition,test_v12_live_optional_tf_parity.py,"[""EMA_TF_15M_ENABLED""]","[""v12_quick_engine.py:8523:attribute""]","[""v12_quick_engine.py:8523:attribute""]",[],[],"[""config.py:5434""]"
EMA_TF_1H_ENABLED,True,True,True,True,False,False,LIVE_NOT_READ,OR entry on the exact persisted 1h 9/21 EMA transition,test_v12_live_optional_tf_parity.py,"[""EMA_TF_1H_ENABLED""]","[""v12_quick_engine.py:8525:attribute""]","[""v12_quick_engine.py:8525:attribute""]",[],[],"[""config.py:5435""]"
EMA_TF_3M_ENABLED,True,True,True,True,False,False,LIVE_NOT_READ,OR entry on the exact persisted 3m 9/21 EMA transition,test_v12_live_optional_tf_parity.py,"[""EMA_TF_3M_ENABLED""]","[""v12_quick_engine.py:8519:attribute""]","[""v12_quick_engine.py:8519:attribute""]",[],[],"[""config.py:5436""]"
EMA_TF_4H_ENABLED,True,True,True,True,False,False,LIVE_NOT_READ,OR entry on the exact persisted 4h 9/21 EMA transition,test_v12_live_optional_tf_parity.py,"[""EMA_TF_4H_ENABLED""]","[""v12_quick_engine.py:8527:attribute""]","[""v12_quick_engine.py:8527:attribute""]",[],[],"[""config.py:5437""]"
EMA_TF_5M_ENABLED,True,True,True,True,False,False,LIVE_NOT_READ,OR entry on the exact persisted 5m 9/21 EMA transition,test_v12_live_optional_tf_parity.py,"[""EMA_TF_5M_ENABLED""]","[""v12_quick_engine.py:8521:attribute""]","[""v12_quick_engine.py:8521:attribute""]",[],[],"[""config.py:5438""]"
EMA_TF_D_ENABLED,True,True,True,True,False,False,LIVE_NOT_READ,OR entry on the exact persisted daily 9/21 EMA transition,test_v12_live_optional_tf_parity.py,"[""EMA_TF_D_ENABLED""]","[""v12_quick_engine.py:8529:attribute""]","[""v12_quick_engine.py:8529:attribute""]",[],[],"[""config.py:5439""]"
EMA_TF_W_ENABLED,True,True,True,True,False,False,LIVE_NOT_READ,OR entry on the exact persisted weekly 9/21 EMA transition,test_v12_live_optional_tf_parity.py,"[""EMA_TF_W_ENABLED""]","[""v12_quick_engine.py:8531:attribute""]","[""v12_quick_engine.py:8531:attribute""]",[],[],"[""config.py:5440""]"
EMERGENCY_BRAKE_DC_STOP_ENABLED,True,False,False,True,True,False,VECTOR_NOT_READ,,,"[""EMERGENCY_BRAKE_DC_STOP_ENABLED""]",[],[],[],"[""tradier_manage.py:15921:_cfg""]","[""config.py:4396"",""config_tradier.py:734""]"
EMERGENCY_BRAKE_DC_STOP_FIELD,True,False,False,True,True,False,VECTOR_NOT_READ,,,"[""EMERGENCY_BRAKE_DC_STOP_FIELD""]",[],[],[],"[""tradier_manage.py:15924:_cfg""]","[""config.py:4397"",""config_tradier.py:735""]"
EMERGENCY_BRAKE_FILTER_TF,True,False,False,True,False,False,VECTOR_NOT_READ,,,"[""EMERGENCY_BRAKE_FILTER_TF""]",[],[],[],[],"[""config.py:5240"",""config_tradier.py:3540""]"
ENABLE_FAST_RISER_REDUCE,True,False,False,True,True,False,VECTOR_NOT_READ,,,"[""ENABLE_FAST_RISER_REDUCE""]",[],[],[],"[""ez_manage.py:46465:attribute""]","[""config.py:2873"",""config_tradier.py:1077""]"
ENABLE_LOSS_PROTECTION,True,False,False,True,True,False,VECTOR_NOT_READ,,,"[""ENABLE_LOSS_PROTECTION""]",[],[],[],"[""ez_manage.py:4959:attribute""]","[""config.py:520"",""config_tradier.py:2364""]"
ENTRY_ATR_PCT_MIN,True,True,False,True,True,False,VECTOR_SYNTHETIC_ONLY_REJECTED,,,"[""ENTRY_ATR_PCT_MIN""]","[""v12_quick_engine.py:10683:getattr""]",[],"[""v12_quick_engine.py:10683:getattr""]","[""ez_manage.py:35750:getattr"",""ez_positions_quick.py:2759:getattr"",""tradier_manage.py:12962:_cfg_auto""]","[""config.py:2464"",""config_tradier.py:2365""]"
ENTRY_BB_EXTREME_BOUNCE_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BB_EXTREME_BOUNCE_ENABLED""]","[""v12_quick_engine.py:14776:getattr""]","[""v12_quick_engine.py:14776:getattr""]",[],"[""ez_manage.py:1668:getattr""]","[""config.py:5241"",""config_tradier.py:3541""]"
ENTRY_BB_EXTREME_THRESHOLD,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BB_EXTREME_THRESHOLD""]","[""v12_quick_engine.py:14777:getattr""]","[""v12_quick_engine.py:14777:getattr""]",[],"[""ez_manage.py:1669:getattr""]","[""config.py:5242"",""config_tradier.py:3542""]"
ENTRY_BB_SQUEEZE_LOOKBACK,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BB_SQUEEZE_LOOKBACK""]","[""v12_quick_engine.py:14778:getattr""]","[""v12_quick_engine.py:14778:getattr""]",[],"[""ez_manage.py:1670:getattr""]","[""config.py:5243"",""config_tradier.py:3543""]"
ENTRY_BB_SQUEEZE_RATIO,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BB_SQUEEZE_RATIO""]","[""v12_quick_engine.py:14779:getattr""]","[""v12_quick_engine.py:14779:getattr""]",[],"[""ez_manage.py:1671:getattr""]","[""config.py:5244"",""config_tradier.py:3544""]"
ENTRY_BB_SQUEEZE_RELEASE_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BB_SQUEEZE_RELEASE_ENABLED""]","[""v12_quick_engine.py:14780:getattr""]","[""v12_quick_engine.py:14780:getattr""]",[],"[""ez_manage.py:1672:getattr""]","[""config.py:5245"",""config_tradier.py:3545""]"
ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_BOUNCE_DISTANCE,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_BOUNCE_DISTANCE""]","[""v12_quick_engine.py:6658:getattr""]","[""v12_quick_engine.py:6658:getattr""]",[],"[""tradier_manage.py:9588:_cfg_auto""]","[""config.py:4399"",""config_tradier.py:108""]"
ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_BOUNCE_TIMEFRAME,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_BOUNCE_TIMEFRAME""]","[""v12_quick_engine.py:6656:getattr""]","[""v12_quick_engine.py:6656:getattr""]",[],"[""tradier_manage.py:9587:_cfg_auto""]","[""config.py:4400"",""config_tradier.py:107""]"
ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_CONFIRMATION_MIN,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_CONFIRMATION_MIN""]","[""v12_quick_engine.py:6661:attribute""]","[""v12_quick_engine.py:6661:attribute""]",[],"[""tradier_manage.py:9591:_cfg_auto""]","[""config.py:4401"",""config_tradier.py:111""]"
ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_DEEP_K4H,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_DEEP_K4H""]","[""v12_quick_engine.py:6659:getattr""]","[""v12_quick_engine.py:6659:getattr""]",[],"[""tradier_manage.py:9589:_cfg_auto""]","[""config.py:4402"",""config_tradier.py:109""]"
ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_ENABLED""]","[""v12_quick_engine.py:6650:getattr""]","[""v12_quick_engine.py:6650:getattr""]",[],"[""tradier_manage.py:9580:_cfg_auto""]","[""config.py:4403"",""config_tradier.py:104""]"
ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_SIDE,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_SIDE""]","[""v12_quick_engine.py:6651:attribute""]","[""v12_quick_engine.py:6651:attribute""]",[],"[""tradier_manage.py:9583:_cfg_auto""]","[""config.py:4404"",""config_tradier.py:106""]"
ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_SYMBOLS,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_SYMBOLS""]","[""v12_quick_engine.py:6652:attribute""]","[""v12_quick_engine.py:6652:attribute""]",[],"[""tradier_manage.py:9582:_cfg_auto""]","[""config.py:4405"",""config_tradier.py:105""]"
ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_TURN_K1H,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DEEP_TURN_COMPOSITE_V1_TURN_K1H""]","[""v12_quick_engine.py:6660:getattr""]","[""v12_quick_engine.py:6660:getattr""]",[],"[""tradier_manage.py:9590:_cfg_auto""]","[""config.py:4406"",""config_tradier.py:110""]"
ENTRY_BOUNCE_DONCHIAN_DIRECT_CONFIRMATION,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DONCHIAN_DIRECT_CONFIRMATION""]","[""v12_quick_engine.py:6707:attribute""]","[""v12_quick_engine.py:6707:attribute""]",[],"[""tradier_manage.py:742:_cfg"",""tradier_manage.py:9621:_cfg_auto""]","[""config.py:4407"",""config_tradier.py:857""]"
ENTRY_BOUNCE_DONCHIAN_DIRECT_DISTANCE,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DONCHIAN_DIRECT_DISTANCE""]","[""v12_quick_engine.py:6705:getattr""]","[""v12_quick_engine.py:6705:getattr""]",[],"[""tradier_manage.py:779:_cfg"",""tradier_manage.py:9619:_cfg_auto""]","[""config.py:4408"",""config_tradier.py:855""]"
ENTRY_BOUNCE_DONCHIAN_DIRECT_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DONCHIAN_DIRECT_ENABLED""]","[""v12_quick_engine.py:6703:getattr""]","[""v12_quick_engine.py:6703:getattr""]",[],"[""tradier_manage.py:732:_cfg"",""tradier_manage.py:9616:_cfg_auto""]","[""config.py:4409"",""config_tradier.py:853""]"
ENTRY_BOUNCE_DONCHIAN_DIRECT_RECOVERY_ONLY,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DONCHIAN_DIRECT_RECOVERY_ONLY""]","[""v12_quick_engine.py:6706:getattr""]","[""v12_quick_engine.py:6706:getattr""]",[],"[""tradier_manage.py:783:_cfg"",""tradier_manage.py:9620:_cfg_auto""]","[""config.py:4410"",""config_tradier.py:856""]"
ENTRY_BOUNCE_DONCHIAN_DIRECT_TIMEFRAME,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_BOUNCE_DONCHIAN_DIRECT_TIMEFRAME""]","[""v12_quick_engine.py:6704:getattr""]","[""v12_quick_engine.py:6704:getattr""]",[],"[""tradier_manage.py:738:_cfg"",""tradier_manage.py:9618:_cfg_auto""]","[""config.py:4411"",""config_tradier.py:854""]"
ENTRY_COOLDOWN_SEC,True,False,False,True,False,False,VECTOR_NOT_READ,,,"[""ENTRY_COOLDOWN_SEC""]",[],[],[],[],"[""config.py:5246"",""config_tradier.py:3546""]"
ENTRY_EMA_FAST,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_EMA_FAST""]","[""v12_quick_engine.py:14781:getattr""]","[""v12_quick_engine.py:14781:getattr""]",[],"[""ez_manage.py:1673:getattr""]","[""config.py:5247"",""config_tradier.py:3547""]"
ENTRY_EMA_MID,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_EMA_MID""]","[""v12_quick_engine.py:14782:getattr""]","[""v12_quick_engine.py:14782:getattr""]",[],"[""ez_manage.py:1674:getattr""]","[""config.py:5248"",""config_tradier.py:3548""]"
ENTRY_EMA_RIBBON_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_EMA_RIBBON_ENABLED""]","[""v12_quick_engine.py:14783:getattr""]","[""v12_quick_engine.py:14783:getattr""]",[],"[""ez_manage.py:1675:getattr""]","[""config.py:5249"",""config_tradier.py:3549""]"
ENTRY_EMA_SLOW,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_EMA_SLOW""]","[""v12_quick_engine.py:14784:getattr""]","[""v12_quick_engine.py:14784:getattr""]",[],"[""ez_manage.py:1676:getattr""]","[""config.py:5250"",""config_tradier.py:3550""]"
ENTRY_FVG_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_FVG_ENABLED""]","[""v12_quick_engine.py:14785:getattr""]","[""v12_quick_engine.py:14785:getattr""]",[],"[""ez_manage.py:1677:getattr""]","[""config.py:5251"",""config_tradier.py:3551""]"
ENTRY_LIQ_SWEEP_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_LIQ_SWEEP_ENABLED""]","[""v12_quick_engine.py:14786:getattr""]","[""v12_quick_engine.py:14786:getattr""]",[],"[""ez_manage.py:1678:getattr""]","[""config.py:5252"",""config_tradier.py:3552""]"
ENTRY_LIQ_SWEEP_LOOKBACK,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_LIQ_SWEEP_LOOKBACK""]","[""v12_quick_engine.py:14787:getattr""]","[""v12_quick_engine.py:14787:getattr""]",[],"[""ez_manage.py:1679:getattr""]","[""config.py:5253"",""config_tradier.py:3553""]"
ENTRY_MIN_ALIGNMENT,True,False,False,True,True,False,VECTOR_NOT_READ,,,"[""ENTRY_MIN_ALIGNMENT""]",[],[],[],"[""tradier_manage.py:19943:getattr""]","[""config.py:4412"",""config_tradier.py:594""]"
ENTRY_MODE,True,True,True,False,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_MODE""]","[""v12_quick_engine.py:14788:getattr""]","[""v12_quick_engine.py:14788:getattr""]",[],"[""ez_manage.py:1680:getattr""]",[]
ENTRY_NR7_ENABLED,True,True,True,False,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_NR7_ENABLED""]","[""v12_quick_engine.py:14789:getattr""]","[""v12_quick_engine.py:14789:getattr""]",[],"[""ez_manage.py:1681:getattr""]",[]
ENTRY_NR_LOOKBACK,True,True,True,False,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_NR_LOOKBACK""]","[""v12_quick_engine.py:14790:getattr""]","[""v12_quick_engine.py:14790:getattr""]",[],"[""ez_manage.py:1682:getattr""]",[]
ENTRY_PRIMARY_TF,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_PRIMARY_TF""]","[""v12_quick_engine.py:7422:getattr""]","[""v12_quick_engine.py:7422:getattr""]",[],"[""tradier_manage.py:13117:getattr""]","[""config.py:4413"",""config_tradier.py:595""]"
ENTRY_SCORE_THRESHOLD,True,True,True,True,True,True,EXACT_STATIC_SEMANTICS,combined additive score admission threshold,test_v12_live_optional_tf_parity.py,"[""ENTRY_SCORE_THRESHOLD"",""TRADIER_ENTRY_SCORE_THRESHOLD""]","[""v12_quick_engine.py:7251:attribute"",""v12_quick_engine.py:8222:attribute""]","[""v12_quick_engine.py:7251:attribute"",""v12_quick_engine.py:8222:attribute""]",[],"[""tradier_manage.py:12334:_cfg"",""tradier_manage.py:16710:_cfg"",""tradier_manage.py:16724:_cfg"",""tradier_manage.py:9793:_cfg""]","[""config.py:42"",""config.py:4980"",""config_tradier.py:1978"",""config_tradier.py:55""]"
ENTRY_STOCH_HHHL_DIRECT_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_STOCH_HHHL_DIRECT_ENABLED""]","[""v12_quick_engine.py:6784:getattr""]","[""v12_quick_engine.py:6784:getattr""]",[],"[""tradier_manage.py:27362:_cfg"",""tradier_manage.py:686:_cfg""]","[""config.py:4414"",""config_tradier.py:849""]"
ENTRY_STOCH_HHHL_DIRECT_MIN_CONFIRMING_TFS,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_STOCH_HHHL_DIRECT_MIN_CONFIRMING_TFS""]","[""v12_quick_engine.py:6786:getattr""]","[""v12_quick_engine.py:6786:getattr""]",[],"[""tradier_manage.py:713:_cfg""]","[""config.py:4415"",""config_tradier.py:851""]"
ENTRY_STOCH_HHHL_DIRECT_STOCH_THRESHOLD,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_STOCH_HHHL_DIRECT_STOCH_THRESHOLD""]","[""v12_quick_engine.py:6787:getattr""]","[""v12_quick_engine.py:6787:getattr""]",[],"[""tradier_manage.py:717:_cfg""]","[""config.py:4416"",""config_tradier.py:852""]"
ENTRY_STOCH_HHHL_DIRECT_TFS,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_STOCH_HHHL_DIRECT_TFS""]","[""v12_quick_engine.py:6785:getattr""]","[""v12_quick_engine.py:6785:getattr""]",[],"[""tradier_manage.py:692:_cfg""]","[""config.py:4417"",""config.py:5441"",""config_tradier.py:850""]"
ENTRY_STOCH_PARENT_DIRECT_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_STOCH_PARENT_DIRECT_ENABLED""]","[""v12_quick_engine.py:6816:getattr""]","[""v12_quick_engine.py:6816:getattr""]",[],"[""tradier_manage.py:27369:_cfg"",""tradier_manage.py:800:_cfg""]","[""config.py:4418"",""config_tradier.py:858""]"
ENTRY_STOCH_PARENT_DIRECT_FAMILY,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_STOCH_PARENT_DIRECT_FAMILY""]","[""v12_quick_engine.py:6817:getattr""]","[""v12_quick_engine.py:6817:getattr""]",[],"[""tradier_manage.py:804:_cfg""]","[""config.py:4419"",""config_tradier.py:859""]"
ENTRY_STOCH_PARENT_DIRECT_THRESHOLD,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_STOCH_PARENT_DIRECT_THRESHOLD""]","[""v12_quick_engine.py:6818:getattr""]","[""v12_quick_engine.py:6818:getattr""]",[],"[""tradier_manage.py:824:_cfg""]","[""config.py:4420"",""config_tradier.py:860""]"
ENTRY_STOCH_PARENT_DIRECT_TURN_DEFINITION,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_STOCH_PARENT_DIRECT_TURN_DEFINITION""]","[""v12_quick_engine.py:6819:getattr""]","[""v12_quick_engine.py:6819:getattr""]",[],"[""tradier_manage.py:828:_cfg""]","[""config.py:4421"",""config_tradier.py:861""]"
ENTRY_SYMGATE_ENABLED,True,True,False,True,True,False,VECTOR_SYNTHETIC_ONLY_REJECTED,,,"[""ENTRY_SYMGATE_ENABLED""]","[""v12_quick_engine.py:10690:getattr""]",[],"[""v12_quick_engine.py:10690:getattr""]","[""ez_positions_quick.py:15586:getattr"",""tradier_manage.py:22182:_cfg_auto"",""tradier_manage.py:22475:_cfg_auto""]","[""config.py:636"",""config_tradier.py:2646""]"
ENTRY_TRIGGER_TF,True,False,False,True,True,False,VECTOR_NOT_READ,,,"[""ENTRY_TRIGGER_TF""]",[],[],[],"[""tradier_manage.py:13118:getattr""]","[""config.py:4422"",""config_tradier.py:596""]"
ENTRY_VOL_MIN_RATIO,True,True,False,True,True,False,VECTOR_SYNTHETIC_ONLY_REJECTED,,,"[""ENTRY_VOL_MIN_RATIO""]","[""v12_quick_engine.py:10694:getattr""]",[],"[""v12_quick_engine.py:10694:getattr""]","[""ez_manage.py:35610:getattr"",""ez_positions_quick.py:2327:getattr"",""tradier_manage.py:12970:_cfg_auto""]","[""config.py:2461"",""config_tradier.py:2366""]"
ENTRY_VOL_SPIKE_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_VOL_SPIKE_ENABLED""]","[""v12_quick_engine.py:14791:getattr""]","[""v12_quick_engine.py:14791:getattr""]",[],"[""ez_manage.py:1683:getattr""]","[""config.py:5254"",""config_tradier.py:3554""]"
ENTRY_VOL_SPIKE_LOOKBACK,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_VOL_SPIKE_LOOKBACK""]","[""v12_quick_engine.py:14792:getattr""]","[""v12_quick_engine.py:14792:getattr""]",[],"[""ez_manage.py:1684:getattr""]","[""config.py:5255"",""config_tradier.py:3555""]"
ENTRY_VOL_SPIKE_RATIO,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_VOL_SPIKE_RATIO""]","[""v12_quick_engine.py:14793:getattr""]","[""v12_quick_engine.py:14793:getattr""]",[],"[""ez_manage.py:1685:getattr""]","[""config.py:5256"",""config_tradier.py:3556""]"
ENTRY_WILLR_ENABLED,True,True,True,True,True,False,READ_ROUTE_ONLY_NOT_SEMANTIC_VERIFIED,,,"[""ENTRY_WILLR_ENABLED""]","[""v12_quick_engine.py:14794:getattr""]","[""v12_quick_engine.py:14794:getattr""]",[],"[""ez_manage.py:1686:getattr""]","[""config.py:5257"",""config_tradier.py:3557""]"
