switch,candidate,filter,opt,baseline,gain,delta,trades,valid,F_filling,recipe
REGIME_TRENDING_EXIT_GAIN_MIN,3.0,,,-2.0853,-2.0853,0,0,False,False,
REVERSE_ON_EXIT_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
REVERSE_ON_EXIT_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
RZ_BOT_BB_THRESHOLD,0.075,,,-2.0853,-2.0853,0,0,False,False,
RZ_BOT_BB_THRESHOLD,0.1125,,,-2.0853,-2.0853,0,0,False,False,
RZ_BOT_BB_THRESHOLD,0.15,,,-2.0853,-2.0853,0,0,False,False,
RZ_BOT_BB_THRESHOLD,0.1875,,,-2.0853,-2.0853,0,0,False,False,
RZ_BOT_BB_THRESHOLD,0.225,,,-2.0853,-2.0853,0,0,False,False,
RZ_BREAKOUT_BAND,0,,,-2.0853,-2.0853,0,0,False,False,
RZ_BREAKOUT_BAND,0.5,,,-2.0853,-2.0853,0,0,False,False,
RZ_BREAKOUT_BAND,1.0,,,-2.0853,-2.0853,0,0,False,False,
RZ_BREAKOUT_BAND,2.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K15M_HI,0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K15M_HI,0.5,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K15M_HI,1.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K15M_HI,2.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K15M_LO,0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K15M_LO,0.5,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K15M_LO,1.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K15M_LO,2.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K3M_HI,0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K3M_HI,0.5,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K3M_HI,1.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K3M_HI,2.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K3M_LO,0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K3M_LO,0.5,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K3M_LO,1.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_K3M_LO,2.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_WALL_PCT,0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_WALL_PCT,0.5,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_WALL_PCT,1.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_K_OB_EXIT_WALL_PCT,2.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_OB_WALL_TOO_CLOSE_PCT,0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_OB_WALL_TOO_CLOSE_PCT,0.5,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_OB_WALL_TOO_CLOSE_PCT,1.0,,,-2.0853,-2.0853,0,0,False,False,
SCALP_V3_OB_WALL_TOO_CLOSE_PCT,2.0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_PCTB_LONG,0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_PCTB_LONG,0.5,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_PCTB_LONG,1.0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_PCTB_LONG,2.0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_PCTB_SHORT,0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_PCTB_SHORT,0.5,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_PCTB_SHORT,1.0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_BREAKOUT_PCTB_SHORT,2.0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_SUPPRESS_EARLY_EXIT,0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_SUPPRESS_EARLY_EXIT,0.5,,,-2.0853,-2.0853,0,0,False,False,
STDEV_SUPPRESS_EARLY_EXIT,1.0,,,-2.0853,-2.0853,0,0,False,False,
STDEV_SUPPRESS_EARLY_EXIT,2.0,,,-2.0853,-2.0853,0,0,False,False,
STOCH_CROSS_ENTRY_TRADIER,False,,,-2.0853,-2.0853,0,0,False,False,
STOCH_CROSS_ENTRY_TRADIER,True,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_MFI_ENTRY_LONG_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_MFI_ENTRY_LONG_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_LONG,45.0,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_LONG,67.5,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_LONG,90.0,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_LONG,112.5,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_LONG,135.0,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_SHORT,5.0,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_SHORT,7.5,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_SHORT,10.0,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_SHORT,12.5,,,-2.0853,-2.0853,0,0,False,False,
TRADIER_RSI2_EXIT_THRESHOLD_SHORT,15.0,,,-2.0853,-2.0853,0,0,False,False,
TREND_MIN_GAIN_EXIT,0,,,-2.0853,-2.0853,0,0,False,False,
TREND_MIN_GAIN_EXIT,0.5,,,-2.0853,-2.0853,0,0,False,False,
TREND_MIN_GAIN_EXIT,1.0,,,-2.0853,-2.0853,0,0,False,False,
TREND_MIN_GAIN_EXIT,2.0,,,-2.0853,-2.0853,0,0,False,False,
V8_ENTRY_ENGINE_DC_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
V8_ENTRY_ENGINE_DC_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
V8_ENTRY_ENGINE_WT_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
V8_ENTRY_ENGINE_WT_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
WRONG_SIDE_WT_TFS_REQUIRED,2,,,-2.0853,-2.0853,0,0,False,False,
WRONG_SIDE_WT_TFS_REQUIRED,3,,,-2.0853,-2.0853,0,0,False,False,
WRONG_SIDE_WT_TFS_REQUIRED,4,,,-2.0853,-2.0853,0,0,False,False,
WRONG_SIDE_WT_TFS_REQUIRED,5,,,-2.0853,-2.0853,0,0,False,False,
WRONG_SIDE_WT_TFS_REQUIRED,6,,,-2.0853,-2.0853,0,0,False,False,
WT_15M_CROSS_ENTRY_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
WT_15M_CROSS_ENTRY_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_BLOCK,-30.0,,,-2.0853,-2.0853,0,0,False,False,
WT_COMPOSITE_ENTRY_BLOCK,-25.0,,,-2.0853,-2.0853,0,0,False,False,
