switch,value,mean_delta_vs_bh,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,BNBUSDC_LONG,BNBUSDC_SHORT,BTCDOMUSDT_LONG,BTCDOMUSDT_SHORT,BTCUSDC_LONG,BTCUSDC_SHORT,DOGEUSDC_LONG,DOGEUSDC_SHORT,ETHUSDC_LONG,ETHUSDC_SHORT,HYPEUSDT_LONG,HYPEUSDT_SHORT,SOLUSDC_LONG,SOLUSDC_SHORT,WLDUSDC_LONG,WLDUSDC_SHORT,XRPUSDC_LONG,XRPUSDC_SHORT,ZECUSDC_LONG,ZECUSDC_SHORT
BB_MAX_1h,0.5,3.4441,10,POSITIVE,0.65,3.608,-16.426,8.375,-1.955,0.056,-25.577,10.615,8.088,-5.323,134.834,-71.271,-5.377,3.327,124.326,-80.002,-12.921,8.42,-24.913,15.574,-2.461,1.492
BB_MAX_1h,0.35,3.4327,10,POSITIVE,0.65,3.608,-18.773,10.789,-1.996,0.136,-28.468,12.909,9.446,-6.952,153.921,-88.396,-6.17,3.978,144.729,-101.656,-14.517,10.347,-28.73,19.108,-2.872,1.82
DCPOS_MAX_1h,0.35,3.4281,10,POSITIVE,0.35,3.4281,-21.548,13.128,-1.945,0.098,-30.887,15.261,11.065,-8.144,170.163,-106.157,-6.481,4.147,161.036,-116.202,-15.143,11.253,-32.856,22.849,-2.958,1.883
DCPOS_MAX_1h,0.2,3.3962,10,POSITIVE,0.35,3.4281,-26.457,17.687,-2.124,0.344,-35.502,20.135,13.136,-10.448,206.599,-144.856,-7.762,5.638,196.21,-150.102,-18.649,14.65,-39.832,30.283,-3.466,2.44
SIZE_SLOPE_1h,1.0,3.3761,10,POSITIVE,12.0,40.5115,11.81,-10.222,1.201,-0.683,12.411,-14.285,-1.988,9.019,-62.101,93.717,3.548,-2.315,-69.677,86.968,10.865,-4.458,19.69,-16.66,1.667,-0.986
DCPOS_MAX_1h,0.5,3.2644,9,POSITIVE,0.35,3.4281,-17.418,9.407,-1.815,-0.055,-26.645,11.772,8.546,-6.266,139.486,-77.9,-5.171,3.233,128.566,-85.854,-12.203,8.4,-26.454,16.736,-2.515,1.437
BB_MIN_15m,0.05,3.2594,10,POSITIVE,0.05,3.2594,-9.759,3.969,-0.403,0.202,-15.802,4.9,4.467,-2.251,80.046,-30.227,-2.761,0.678,70.531,-24.683,-5.979,2.044,-14.726,5.822,-1.227,0.346
BB_MIN_15m,0.2,3.2363,10,POSITIVE,0.05,3.2594,-12.717,6.986,-0.52,0.33,-19.019,9.184,6.47,-3.903,103.44,-54.273,-3.487,1.417,93.653,-47.353,-8.972,3.93,-19.371,9.969,-1.712,0.673
RSI_MAX_1h,50,3.215,10,POSITIVE,50,3.215,-16.128,8.58,-1.965,0.119,-25.273,10.785,7.683,-5.28,129.346,-70.621,-5.51,3.314,123.446,-80.59,-12.922,9.002,-24.619,15.904,-2.523,1.552
DCPOS_MAX_1h,0.8,3.1833,9,POSITIVE,0.35,3.4281,-9.783,2.108,-1.226,-0.374,-18.058,2.672,4.52,-1.575,80.929,-20.057,-3.344,0.924,67.393,-25.988,-6.578,1.753,-13.13,4.366,-1.368,0.482
BB_MIN_15m,0.35,3.1741,10,POSITIVE,0.05,3.2594,-15.467,9.622,-0.664,0.408,-22.503,12.894,7.958,-5.428,123.902,-77.16,-4.517,2.046,117.787,-70.732,-10.799,5.92,-23.39,14.596,-2.057,1.065
DCPOS_MAX_1h,0.65,3.1652,9,POSITIVE,0.35,3.4281,-13.358,5.823,-1.546,-0.241,-22.402,7.801,6.355,-4.203,110.961,-50.231,-4.289,2.014,98.857,-57.285,-9.254,4.984,-20.44,10.772,-1.979,0.965
DCPOS_MIN_15m,0.35,3.1561,10,POSITIVE,0.35,3.1561,-13.382,8.052,-0.711,0.377,-20.506,10.116,6.787,-4.305,107.203,-59.749,-4.094,1.803,102.918,-56.627,-9.952,5.126,-20.111,11.156,-1.889,0.91
BB_MAX_1h,0.05,3.0293,10,POSITIVE,0.65,3.608,-24.314,16.842,-2.039,0.371,-33.817,18.763,12.351,-10.242,194.324,-135.531,-8.026,6.161,192.36,-153.661,-18.531,15.027,-36.721,28.164,-3.723,2.829
DCPOS_MIN_15m,0.5,2.9632,10,POSITIVE,0.35,3.1561,-17.033,11.786,-0.884,0.581,-24.609,14.677,8.688,-6.938,138.693,-94.824,-5.188,2.771,133.699,-88.045,-12.605,7.944,-26.243,17.802,-2.443,1.435
BB_MIN_15m,0.5,2.9505,10,POSITIVE,0.05,3.2594,-17.908,12.346,-0.774,0.511,-24.967,15.472,9.029,-7.21,143.218,-100.721,-5.37,2.981,138.023,-91.443,-12.673,7.58,-26.867,18.793,-2.406,1.396
DCPOS_MIN_15m,0.2,2.9466,10,POSITIVE,0.35,3.1561,-9.074,3.524,-0.453,0.229,-15.087,4.258,4.254,-1.969,70.438,-26.782,-2.818,0.703,68.633,-23.51,-5.873,2.078,-13.628,4.892,-1.303,0.42
BB_MAX_4h,1.1,2.8981,9,POSITIVE,0.35,4.1109,-4.915,0.081,-1.27,-0.082,-7.82,-0.364,1.68,0.088,57.932,-6.02,-1.949,0.276,38.708,-5.668,-5.034,1.137,-10.535,2.378,-0.818,0.157
SIZE_SLOPE_15m,2.0,2.8339,10,POSITIVE,12.0,17.0033,20.081,-23.28,2.677,-1.727,22.995,-28.981,-9.776,12.293,-139.785,174.53,5.772,-4.714,-133.327,155.364,18.775,-12.607,33.665,-35.872,2.76,-2.165
RSI_MIN_15m,50,2.81,10,POSITIVE,50,2.81,-17.738,12.823,-0.722,0.495,-24.585,15.35,9.287,-7.575,142.036,-101.767,-5.149,2.893,136.666,-93.069,-12.323,7.953,-26.797,19.249,-2.288,1.461
WT_DIR_4h,inv,2.81,10,POSITIVE,inv,2.81,-16.169,8.367,-1.752,0.249,-19.183,10.271,8.824,-6.125,121.181,-74.044,-5.166,2.813,125.551,-84.386,-12.385,8.349,-24.706,15.375,-2.279,1.415
BB_MIN_15m,0.8,2.8098,10,POSITIVE,0.05,3.2594,-22.889,17.972,-1.117,0.683,-30.584,20.625,11.464,-10.527,182.688,-143.086,-6.986,4.685,179.714,-132.999,-16.431,12.791,-35.468,26.776,-3.179,2.064
DCPOS_MIN_15m,0.8,2.7608,10,POSITIVE,0.35,3.1561,-24.41,19.701,-1.472,0.923,-33.191,22.958,12.711,-11.879,200.549,-160.201,-7.4,5.471,194.277,-149.825,-19.034,15.213,-38.431,30.369,-3.588,2.474
WT_DIR_1h,inv,2.7435,10,POSITIVE,inv,2.7435,-16.953,9.48,-1.64,0.073,-20.469,10.202,8.731,-6.311,129.402,-80.667,-5.094,3.541,124.631,-89.244,-12.002,9.015,-24.263,17.128,-2.142,1.453
DCPOS_MIN_15m,0.65,2.7265,10,POSITIVE,0.35,3.1561,-20.722,16.115,-1.139,0.727,-28.53,18.608,10.808,-9.138,166.759,-129.874,-6.335,4.427,163.163,-117.216,-15.319,11.206,-31.886,23.952,-2.987,1.911
BB_MIN_15m,0.65,2.6526,10,POSITIVE,0.05,3.2594,-20.305,15.332,-0.9,0.581,-27.924,18.071,10.353,-8.393,161.457,-123.512,-6.114,3.713,156.375,-111.846,-14.125,9.791,-31.172,22.75,-2.798,1.719
BB_MIN_15m,0.95,2.5856,10,POSITIVE,0.05,3.2594,-25.43,20.871,-1.373,0.82,-33.767,24.331,12.875,-12.147,204.815,-164.656,-7.672,5.665,197.771,-157.296,-18.778,14.77,-39.248,31.182,-3.544,2.523
MFI_MAX_4h,50,2.3764,10,POSITIVE,50,2.3764,-15.221,10.77,-1.632,0.688,-16.352,9.293,6.395,-5.404,125.168,-79.923,-4.856,3.896,113.194,-89.564,-13.21,10.807,-23.85,17.927,-2.386,1.787
RSI_MAX_4h,35,2.3367,10,POSITIVE,50,3.8215,-25.607,19.867,-1.852,0.745,-33.841,22.267,12.327,-10.721,199.04,-152.915,-8.406,6.875,196.221,-166.816,-19.656,16.661,-39.261,32.564,-3.634,2.876
BB_MAX_1h,0.95,2.2812,9,POSITIVE,0.65,3.608,-8.678,1.947,-1.466,-0.146,-11.679,2.001,4.246,-1.64,64.293,-21.043,-2.381,0.28,55.91,-22.567,-7.008,2.495,-13.109,4.752,-0.829,0.246
BB_MAX_D,0.2,2.2025,10,POSITIVE,0.2,2.2025,-23.444,18.954,-1.708,0.732,-29.154,18.594,7.708,-6.224,158.645,-116.851,-8.535,7.382,166.936,-140.44,-19.84,17.8,-32.97,27.179,-3.205,2.49
BB_MAX_D,0.35,2.1531,10,POSITIVE,0.2,2.2025,-19.622,14.983,-1.611,0.599,-22.591,13.132,5.597,-4.444,127.053,-85.655,-8.189,6.814,134.015,-107.308,-16.987,14.152,-28.43,22.254,-2.919,2.22
RSI_MAX_1h,35,2.0954,10,POSITIVE,50,3.215,-25.331,20.399,-1.835,0.745,-33.859,23.212,12.911,-11.853,200.181,-158.75,-8.109,6.716,196.508,-170.19,-19.987,17.872,-38.564,32.609,-3.625,2.858
