switch,value,mean_delta,n_keys_positive,verdict,best_value_for_switch,best_value_mean_delta,ARM_LONG,AXTI_SHORT,HAO_SHORT,MNTS_SHORT,MU_LONG,NVDA_LONG,ROKU_LONG,TTD_SHORT,tim_ARM_LONG,tim_AXTI_SHORT,tim_HAO_SHORT,tim_MNTS_SHORT,tim_MU_LONG,tim_NVDA_LONG,tim_ROKU_LONG,tim_TTD_SHORT
WT_LEVEL_MAX_D,20,-0.9725,1,REDO_FUNCTION,20,-0.9725,-7.404,0.0,0.0,0.0,-1.159,-2.425,5.006,-1.798,26.4,61.1,47.8,46.6,20.7,27.1,27.0,29.9
VOL_BAND_4h,3.0,-0.9997,3,REDO_FUNCTION,0.5,-0.8195,0.192,-2.254,-2.331,-2.761,-0.249,2.893,-4.651,1.163,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
STOCH_MAX_4h,90,-1.0099,1,REDO_FUNCTION,90,-1.0099,-2.332,-1.682,-0.359,-2.876,-0.309,-0.717,0.909,-0.713,45.1,41.1,34.4,33.0,42.1,41.9,44.3,43.0
DCPOS_MAX_D,0.7,-1.0104,1,REDO_FUNCTION,1.0,0.0,-6.354,0.0,-0.015,0.0,-1.065,-2.716,2.682,-0.615,34.4,61.1,44.4,46.6,28.6,27.8,35.0,31.6
STOCH_MAX_1h,80,-1.0129,1,REDO_FUNCTION,90,-0.5594,-3.027,-1.577,-1.446,-1.446,-0.447,-1.513,2.098,-0.745,42.2,49.0,37.6,42.1,37.9,37.1,37.8,33.1
VOL_BAND_D,0.5,-1.0438,1,REDO_FUNCTION,0.5,-1.0438,-1.734,-1.402,-2.771,-1.435,-0.378,0.268,-0.442,-0.456,52.7,61.1,47.8,46.6,50.0,49.1,51.8,46.5
MFI_MIN_4h,30,-1.0448,1,REDO_FUNCTION,30,-1.0448,-1.64,-2.159,-1.094,-1.985,-0.228,-1.111,1.574,-1.715,44.2,35.9,33.2,36.7,43.7,42.3,43.9,38.9
RSI_MAX_D,70,-1.0534,1,REDO_FUNCTION,80,-0.7604,-2.225,-1.649,-0.13,-3.717,-0.472,-0.689,0.627,-0.172,48.8,40.9,37.0,30.1,42.0,43.4,48.3,44.3
RSI_MIN_15m,40,-1.0666,1,REDO_FUNCTION,30,-0.4486,-4.27,-0.873,-0.907,-0.749,-0.525,-2.47,2.747,-1.486,40.0,56.5,41.0,43.9,36.4,35.3,43.3,41.2
BB_MAX_15m,1.0,-1.0744,1,REDO_FUNCTION,1.0,-1.0744,-0.903,-1.21,-2.637,-2.323,-0.125,-0.392,0.867,-1.872,51.8,53.0,42.1,38.6,48.4,47.9,48.0,36.2
DCPOS_MAX_15m,0.8,-1.0759,1,REDO_FUNCTION,1.0,0.0,-1.984,-1.523,-1.952,-1.426,-0.316,-0.856,1.478,-2.028,47.1,49.7,31.7,39.9,41.4,42.4,40.6,29.2
BB_MAX_4h,0.8,-1.0839,1,REDO_FUNCTION,1.0,-0.5644,-5.531,-0.088,-0.801,-0.071,-0.949,-2.429,1.728,-0.53,38.9,55.1,40.1,46.4,32.2,32.4,36.4,33.7
WT_LEVEL_MAX_D,0,-1.0859,2,REDO_FUNCTION,20,-0.9725,-8.07,0.0,0.025,0.0,-1.291,-2.766,5.903,-2.488,22.6,61.1,46.5,46.6,15.8,20.9,22.9,26.8
DCPOS_MAX_4h,0.7,-1.1078,2,REDO_FUNCTION,1.0,0.0,-6.486,-0.201,0.124,-0.071,-1.024,-2.849,2.053,-0.408,35.8,54.6,42.7,46.4,28.6,25.6,35.2,32.1
WT_LEVEL_MAX_4h,20,-1.1125,1,REDO_FUNCTION,20,-1.1125,-6.307,-0.179,-1.301,0.0,-1.0,-2.343,4.879,-2.649,28.8,59.9,35.7,46.6,24.1,24.2,28.3,27.9
STOCH_MIN_4h,20,-1.1204,1,REDO_FUNCTION,10,-0.7977,-2.474,-1.713,-1.332,-3.136,-0.383,-1.152,2.549,-1.322,39.7,40.8,27.9,30.3,39.3,39.4,42.7,37.1
BB_MAX_D,0.7,-1.1376,1,REDO_FUNCTION,1.0,-0.5709,-7.377,-0.087,-0.116,-0.306,-1.101,-2.873,3.723,-0.964,31.8,59.8,46.6,45.2,28.0,27.5,31.0,30.7
